client_id,partition,total_samples,0,1,2,3,4,5,6,7
orchestrator,central_test_set,3421,244,624,311,579,243,284,666,470
0,train_set,308,18,20,20,0,0,0,177,73
0,test_set,132,1,5,5,0,0,0,84,37
1,train_set,303,18,14,19,0,0,0,187,65
1,test_set,131,7,2,9,0,0,0,88,25
2,train_set,301,18,14,22,0,0,0,173,74
2,test_set,130,5,10,9,0,0,0,76,30
3,train_set,312,16,15,24,0,0,0,181,76
3,test_set,135,9,6,11,0,0,0,87,22
4,train_set,303,24,15,24,0,0,0,185,55
4,test_set,130,7,5,10,0,0,0,78,30
5,train_set,305,23,13,17,0,0,0,182,70
5,test_set,132,6,9,8,0,0,0,80,29
6,train_set,308,10,10,30,0,0,0,183,75
6,test_set,132,9,6,8,0,0,0,85,24
7,train_set,305,25,21,19,0,0,0,168,72
7,test_set,132,4,6,5,0,0,0,95,22
8,train_set,306,15,23,24,0,0,0,180,64
8,test_set,132,8,5,7,0,0,0,87,25
9,train_set,310,15,15,18,0,0,0,183,79
9,test_set,134,9,5,7,0,0,0,83,30
10,train_set,310,0,0,0,66,27,38,46,133
10,test_set,134,0,0,0,10,23,23,15,63
11,train_set,308,0,0,0,43,31,41,54,139
11,test_set,132,0,0,0,20,9,17,15,71
12,train_set,305,0,0,0,49,23,40,42,151
12,test_set,132,0,0,0,19,12,22,12,67
13,train_set,311,0,0,0,61,21,40,49,140
13,test_set,134,0,0,0,28,6,17,20,63
14,train_set,308,0,0,0,49,21,45,43,150
14,test_set,132,0,0,0,23,12,16,13,68
15,train_set,305,0,0,0,66,38,43,38,120
15,test_set,132,0,0,0,23,14,20,14,61
16,train_set,310,0,0,0,59,36,38,39,138
16,test_set,134,0,0,0,26,17,22,20,49
17,train_set,310,0,0,0,56,21,48,44,141
17,test_set,134,0,0,0,19,14,12,27,62
18,train_set,307,0,0,0,55,31,37,46,138
18,test_set,132,0,0,0,31,8,17,19,57
19,train_set,310,0,0,0,52,31,47,33,147
19,test_set,133,0,0,0,25,16,14,16,62
20,train_set,308,86,85,0,126,11,0,0,0
20,test_set,132,34,29,0,64,5,0,0,0
21,train_set,304,76,97,0,119,12,0,0,0
21,test_set,131,37,36,0,56,2,0,0,0
22,train_set,303,85,83,1,120,14,0,0,0
22,test_set,131,25,47,0,54,5,0,0,0
23,train_set,308,88,85,0,120,15,0,0,0
23,test_set,133,49,33,0,47,4,0,0,0
24,train_set,304,86,88,0,122,8,0,0,0
24,test_set,131,37,47,0,42,5,0,0,0
25,train_set,300,78,79,0,128,15,0,0,0
25,test_set,129,34,39,0,50,6,0,0,0
26,train_set,308,89,76,0,132,11,0,0,0
26,test_set,132,33,37,0,56,6,0,0,0
27,train_set,307,104,70,0,128,5,0,0,0
27,test_set,132,26,47,0,51,8,0,0,0
28,train_set,308,98,75,0,124,11,0,0,0
28,test_set,133,39,33,0,56,5,0,0,0
29,train_set,308,99,68,0,130,11,0,0,0
29,test_set,133,32,33,0,63,5,0,0,0
