client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,1070,79,737,209,45,0,0,0,0,0,0
0,test_set,459,35,310,99,15,0,0,0,0,0,0
1,train_set,1073,63,748,220,42,0,0,0,0,0,0
1,test_set,460,34,317,94,15,0,0,0,0,0,0
2,train_set,1071,72,746,217,36,0,0,0,0,0,0
2,test_set,460,30,309,106,15,0,0,0,0,0,0
3,train_set,1071,92,729,215,35,0,0,0,0,0,0
3,test_set,459,27,320,91,21,0,0,0,0,0,0
4,train_set,1076,76,718,235,47,0,0,0,0,0,0
4,test_set,462,39,317,89,17,0,0,0,0,0,0
5,train_set,1068,61,752,214,41,0,0,0,0,0,0
5,test_set,458,25,308,102,23,0,0,0,0,0,0
6,train_set,1078,72,756,215,35,0,0,0,0,0,0
6,test_set,462,26,322,97,17,0,0,0,0,0,0
7,train_set,1064,0,0,0,0,164,765,135,0,0,0
7,test_set,456,0,0,0,0,87,323,46,0,0,0
8,train_set,1059,0,0,0,0,166,754,139,0,0,0
8,test_set,455,0,0,0,0,59,329,67,0,0,0
9,train_set,1075,0,0,0,0,164,791,120,0,0,0
9,test_set,461,0,0,0,0,71,334,56,0,0,0
10,train_set,1064,0,0,0,0,174,762,128,0,0,0
10,test_set,457,0,0,0,0,82,324,51,0,0,0
11,train_set,1070,0,0,0,0,182,736,152,0,0,0
11,test_set,459,0,0,0,0,69,339,51,0,0,0
12,train_set,1064,0,0,0,0,191,746,127,0,0,0
12,test_set,456,0,0,0,0,58,334,64,0,0,0
13,train_set,1070,0,0,0,0,178,746,146,0,0,0
13,test_set,459,0,0,0,0,74,322,63,0,0,0
14,train_set,1073,0,0,0,0,183,740,150,0,0,0
14,test_set,460,0,0,0,0,63,330,67,0,0,0
15,train_set,1059,0,0,0,0,170,770,119,0,0,0
15,test_set,454,0,0,0,0,81,326,47,0,0,0
16,train_set,1061,0,0,0,0,152,788,121,0,0,0
16,test_set,456,0,0,0,0,71,340,45,0,0,0
17,train_set,1059,0,0,0,0,183,751,125,0,0,0
17,test_set,455,0,0,0,0,75,308,72,0,0,0
18,train_set,1057,0,0,0,0,165,746,146,0,0,0
18,test_set,454,0,0,0,0,79,327,48,0,0,0
19,train_set,1064,0,0,0,0,176,743,145,0,0,0
19,test_set,457,0,0,0,0,63,334,60,0,0,0
20,train_set,1058,0,0,0,0,176,770,112,0,0,0
20,test_set,454,0,0,0,0,65,336,53,0,0,0
21,train_set,1066,0,0,0,0,0,0,0,229,71,766
21,test_set,458,0,0,0,0,0,0,0,93,31,334
22,train_set,1068,0,0,0,0,0,0,0,236,67,765
22,test_set,458,0,0,0,0,0,0,0,106,19,333
23,train_set,1072,0,0,0,0,0,0,0,225,78,769
23,test_set,460,0,0,0,0,0,0,0,98,27,335
24,train_set,1053,0,0,0,0,0,0,0,214,75,764
24,test_set,452,0,0,0,0,0,0,0,95,36,321
25,train_set,1065,0,0,0,0,0,0,0,214,71,780
25,test_set,457,0,0,0,0,0,0,0,97,23,337
26,train_set,1058,0,0,0,0,0,0,0,227,60,771
26,test_set,454,0,0,0,0,0,0,0,101,28,325
27,train_set,1063,0,0,0,0,0,0,0,232,75,756
27,test_set,456,0,0,0,0,0,0,0,104,24,328
28,train_set,1067,0,0,0,0,0,0,0,229,55,783
28,test_set,458,0,0,0,0,0,0,0,91,38,329
29,train_set,1054,0,0,0,0,0,0,0,221,56,777
29,test_set,453,0,0,0,0,0,0,0,90,21,342
