client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,1129,169,195,194,175,0,0,0,0,198,198
0,test_set,485,86,68,87,78,0,0,0,0,85,81
1,train_set,1131,183,176,196,164,0,0,0,0,198,214
1,test_set,486,77,68,96,84,0,0,0,0,73,88
2,train_set,1136,206,205,189,167,0,0,0,0,181,188
2,test_set,487,74,71,88,74,0,0,0,0,97,83
3,train_set,1128,176,195,184,181,0,0,0,0,201,191
3,test_set,484,85,75,88,74,0,0,0,0,81,81
4,train_set,1138,205,202,202,163,0,0,0,0,186,180
4,test_set,489,66,99,90,77,0,0,0,0,69,88
5,train_set,1142,186,183,194,182,0,0,0,0,211,186
5,test_set,490,75,71,93,82,0,0,0,0,79,90
6,train_set,1137,174,188,200,203,0,0,0,0,179,193
6,test_set,488,73,76,88,96,0,0,0,0,83,72
7,train_set,1137,200,216,172,177,0,0,0,0,199,173
7,test_set,488,78,97,91,87,0,0,0,0,60,75
8,train_set,1127,181,168,200,165,0,0,0,0,207,206
8,test_set,484,100,74,76,82,0,0,0,0,82,70
9,train_set,1141,219,183,172,181,0,0,0,0,199,187
9,test_set,490,88,87,76,85,0,0,0,0,80,74
10,train_set,1129,0,0,0,0,193,179,181,196,187,193
10,test_set,485,0,0,0,0,80,76,85,69,97,78
11,train_set,1131,0,0,0,0,193,190,194,183,195,176
11,test_set,486,0,0,0,0,91,68,82,71,87,87
12,train_set,1136,0,0,0,0,180,186,176,202,194,198
12,test_set,487,0,0,0,0,81,75,79,90,83,79
13,train_set,1128,0,0,0,0,185,180,189,202,189,183
13,test_set,484,0,0,0,0,86,90,69,87,74,78
14,train_set,1138,0,0,0,0,197,197,200,175,171,198
14,test_set,489,0,0,0,0,89,88,83,75,75,79
15,train_set,1142,0,0,0,0,184,168,189,193,218,190
15,test_set,490,0,0,0,0,68,86,82,96,73,85
16,train_set,1137,0,0,0,0,216,173,183,187,189,189
16,test_set,488,0,0,0,0,103,80,78,80,85,62
17,train_set,1137,0,0,0,0,181,213,186,196,174,187
17,test_set,488,0,0,0,0,98,77,72,63,84,94
18,train_set,1127,0,0,0,0,186,185,190,187,206,173
18,test_set,484,0,0,0,0,79,100,78,64,77,86
19,train_set,1141,0,0,0,0,205,197,171,188,184,196
19,test_set,490,0,0,0,0,77,78,86,68,100,81
20,train_set,1129,179,195,181,185,189,200,0,0,0,0
20,test_set,485,85,92,79,80,76,73,0,0,0,0
21,train_set,1131,187,182,187,203,190,182,0,0,0,0
21,test_set,486,75,76,86,79,84,86,0,0,0,0
22,train_set,1136,191,200,185,190,176,194,0,0,0,0
22,test_set,487,81,69,85,81,83,88,0,0,0,0
23,train_set,1128,184,185,209,176,180,194,0,0,0,0
23,test_set,484,71,78,71,78,93,93,0,0,0,0
24,train_set,1138,195,174,193,199,199,178,0,0,0,0
24,test_set,489,82,70,88,75,86,88,0,0,0,0
25,train_set,1142,208,168,198,196,188,184,0,0,0,0
25,test_set,490,69,82,90,91,76,82,0,0,0,0
26,train_set,1137,178,197,197,183,182,200,0,0,0,0
26,test_set,488,74,69,89,87,84,85,0,0,0,0
27,train_set,1137,213,203,191,168,179,183,0,0,0,0
27,test_set,488,75,83,84,71,83,92,0,0,0,0
28,train_set,1127,171,186,191,203,191,185,0,0,0,0
28,test_set,484,74,95,90,72,90,63,0,0,0,0
29,train_set,1141,198,184,185,208,180,186,0,0,0,0
29,test_set,490,73,78,85,71,91,92,0,0,0,0
