client_id,partition,total_samples,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,1113,444,60,237,153,0,0,0,0,169,50
0,test_set,478,197,20,96,54,0,0,0,0,92,19
1,train_set,1119,440,39,258,155,0,0,0,0,183,44
1,test_set,480,188,15,115,66,0,0,0,0,73,23
2,train_set,1119,439,57,256,151,0,0,0,0,169,47
2,test_set,480,186,28,108,64,0,0,0,0,79,15
3,train_set,1113,461,46,255,152,0,0,0,0,149,50
3,test_set,478,153,26,123,72,0,0,0,0,78,26
4,train_set,1124,427,45,258,176,0,0,0,0,178,40
4,test_set,483,192,23,116,66,0,0,0,0,67,19
5,train_set,1123,445,46,272,163,0,0,0,0,153,44
5,test_set,482,199,12,111,66,0,0,0,0,64,30
6,train_set,1119,420,48,276,157,0,0,0,0,172,46
6,test_set,480,193,21,107,69,0,0,0,0,72,18
7,train_set,1124,0,0,0,0,227,68,301,71,127,330
7,test_set,483,0,0,0,0,128,21,109,23,54,148
8,train_set,1125,0,0,0,0,234,62,287,71,142,329
8,test_set,483,0,0,0,0,112,32,114,30,43,152
9,train_set,1123,0,0,0,0,264,53,249,83,123,351
9,test_set,482,0,0,0,0,106,30,123,21,46,156
10,train_set,1110,0,0,0,0,257,69,276,62,113,333
10,test_set,476,0,0,0,0,112,30,113,29,44,148
11,train_set,1126,0,0,0,0,222,59,277,72,116,380
11,test_set,483,0,0,0,0,105,19,120,30,52,157
12,train_set,1130,0,0,0,0,268,62,303,60,125,312
12,test_set,485,0,0,0,0,114,33,110,28,60,140
13,train_set,1129,0,0,0,0,245,56,274,63,127,364
13,test_set,485,0,0,0,0,109,30,117,32,56,141
14,train_set,1127,0,0,0,0,260,55,289,63,110,350
14,test_set,483,0,0,0,0,109,22,128,21,56,147
15,train_set,1123,0,0,0,0,263,72,263,65,129,331
15,test_set,482,0,0,0,0,109,26,121,25,53,148
16,train_set,1127,0,0,0,0,229,66,296,72,124,340
16,test_set,484,0,0,0,0,115,23,118,32,46,150
17,train_set,1121,0,0,0,0,257,70,278,64,123,329
17,test_set,481,0,0,0,0,102,33,126,29,40,151
18,train_set,1122,0,0,0,0,253,78,287,66,111,327
18,test_set,482,0,0,0,0,116,32,120,24,52,138
19,train_set,1119,0,0,0,0,233,66,281,65,120,354
19,test_set,480,0,0,0,0,106,24,130,23,53,144
20,train_set,1120,0,0,0,0,229,54,287,66,116,368
20,test_set,480,0,0,0,0,111,32,115,23,46,153
21,train_set,1126,265,13,104,277,180,287,0,0,0,0
21,test_set,483,129,9,34,108,77,126,0,0,0,0
22,train_set,1127,244,24,110,257,200,292,0,0,0,0
22,test_set,484,110,8,43,120,89,114,0,0,0,0
23,train_set,1127,270,17,122,291,164,263,0,0,0,0
23,test_set,484,111,3,33,123,94,120,0,0,0,0
24,train_set,1114,281,21,92,281,169,270,0,0,0,0
24,test_set,478,126,7,39,115,78,113,0,0,0,0
25,train_set,1131,278,17,102,275,193,266,0,0,0,0
25,test_set,486,107,1,42,120,87,129,0,0,0,0
26,train_set,1134,268,16,108,278,198,266,0,0,0,0
26,test_set,487,128,14,38,114,75,118,0,0,0,0
27,train_set,1132,270,22,116,256,202,266,0,0,0,0
27,test_set,486,109,1,38,135,94,109,0,0,0,0
28,train_set,1124,292,20,80,286,193,253,0,0,0,0
28,test_set,483,112,5,41,126,76,123,0,0,0,0
29,train_set,1123,284,14,97,288,186,254,0,0,0,0
29,test_set,482,106,7,50,119,78,122,0,0,0,0
