iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,2.4542967319488525,0.029508196721311476,"[2.5798031806945803, 2.5188756942749024, 2.4542967319488525]","[0.013114754098360656, 0.01639344262295082, 0.029508196721311476]"
0,8,2.2558242797851564,0.27408637873754155,"[2.374118137359619, 2.315049934387207, 2.2558242797851564]","[0.2591362126245847, 0.2707641196013289, 0.27408637873754155]"
0,12,2.0412641048431395,0.28807947019867547,"[2.1431436061859133, 2.091112565994263, 2.0412641048431395]","[0.25165562913907286, 0.2632450331125828, 0.28807947019867547]"
0,7,2.2937369346618652,0.23636363636363636,"[2.424456167221069, 2.359498071670532, 2.2937369346618652]","[0.2231404958677686, 0.23471074380165288, 0.23636363636363636]"
0,3,2.403707218170166,0.01824212271973466,"[2.5474950313568114, 2.468837594985962, 2.403707218170166]","[0.004975124378109453, 0.01824212271973466, 0.01824212271973466]"
0,5,2.338416242599487,0.22442244224422442,"[2.4609281539916994, 2.385890245437622, 2.338416242599487]","[0.21617161716171618, 0.22607260726072606, 0.22442244224422442]"
0,13,2.002066993713379,0.30398671096345514,"[2.0763068914413454, 2.0411753177642824, 2.002066993713379]","[0.2707641196013289, 0.2823920265780731, 0.30398671096345514]"
0,2,2.4357651710510253,0.0180623973727422,"[2.56962890625, 2.504681634902954, 2.4357651710510253]","[0.0016420361247947454, 0.008210180623973728, 0.0180623973727422]"
0,14,2.000086212158203,0.3195364238410596,"[2.0901856660842895, 2.0365450620651244, 2.000086212158203]","[0.28642384105960267, 0.30629139072847683, 0.3195364238410596]"
0,4,2.3978405475616453,0.03600654664484452,"[2.527991199493408, 2.4596760749816893, 2.3978405475616453]","[0.009819967266775777, 0.01800327332242226, 0.03600654664484452]"
0,9,2.3336222648620604,0.23519736842105263,"[2.457165479660034, 2.3928539752960205, 2.3336222648620604]","[0.22039473684210525, 0.23190789473684212, 0.23519736842105263]"
0,1,2.3932062149047852,0.03145695364238411,"[2.542789125442505, 2.4678836345672606, 2.3932062149047852]","[0.0033112582781456954, 0.016556291390728478, 0.03145695364238411]"
0,6,2.2872594833374023,0.26567656765676567,"[2.4093658447265627, 2.3344757080078127, 2.2872594833374023]","[0.24257425742574257, 0.25742574257425743, 0.26567656765676567]"
0,11,2.027416443824768,0.295,"[2.1172736644744874, 2.070291209220886, 2.027416443824768]","[0.265, 0.29, 0.295]"
0,10,2.0354533195495605,0.2961730449251248,"[2.146291208267212, 2.0840293884277346, 2.0354533195495605]","[0.2628951747088186, 0.28452579034941766, 0.2961730449251248]"
1,2,2.346504735946655,0.03284072249589491,"[2.4857677936553957, 2.4142858505249025, 2.346504735946655]","[0.009852216748768473, 0.014778325123152709, 0.03284072249589491]"
1,12,2.0008087873458864,0.3029801324503311,"[2.1044514179229736, 2.042323637008667, 2.0008087873458864]","[0.26490066225165565, 0.28642384105960267, 0.3029801324503311]"
1,3,2.3101064682006838,0.03648424543946932,"[2.4560332775115965, 2.384783172607422, 2.3101064682006838]","[0.01658374792703151, 0.02321724709784411, 0.03648424543946932]"
1,14,1.9540263652801513,0.32781456953642385,"[2.0482906341552733, 1.9931939840316772, 1.9540263652801513]","[0.29635761589403975, 0.3195364238410596, 0.32781456953642385]"
1,7,2.216364049911499,0.2396694214876033,"[2.3396980285644533, 2.2732418060302733, 2.216364049911499]","[0.22644628099173553, 0.23801652892561984, 0.2396694214876033]"
1,1,2.312038516998291,0.04966887417218543,"[2.445709562301636, 2.377407264709473, 2.312038516998291]","[0.02152317880794702, 0.029801324503311258, 0.04966887417218543]"
1,5,2.247408723831177,0.23267326732673269,"[2.381623649597168, 2.3161088943481447, 2.247408723831177]","[0.22277227722772278, 0.23432343234323433, 0.23267326732673269]"
1,9,2.2513765335083007,0.23848684210526316,"[2.3829545974731445, 2.3225372314453123, 2.2513765335083007]","[0.22697368421052633, 0.22861842105263158, 0.23848684210526316]"
1,6,2.1963464260101317,0.26897689768976896,"[2.327068567276001, 2.2503201961517334, 2.1963464260101317]","[0.25577557755775576, 0.26732673267326734, 0.26897689768976896]"
1,8,2.1802814483642576,0.27740863787375414,"[2.2974125385284423, 2.233996629714966, 2.1802814483642576]","[0.26578073089701, 0.27906976744186046, 0.27740863787375414]"
1,13,1.9573235988616944,0.32059800664451826,"[2.0397799253463744, 2.0029738187789916, 1.9573235988616944]","[0.27740863787375414, 0.29900332225913623, 0.32059800664451826]"
1,11,1.9856062889099122,0.30666666666666664,"[2.081619644165039, 2.0333810567855837, 1.9856062889099122]","[0.2833333333333333, 0.2966666666666667, 0.30666666666666664]"
1,0,2.356639289855957,0.029508196721311476,"[2.495965909957886, 2.42717022895813, 2.356639289855957]","[0.019672131147540985, 0.021311475409836064, 0.029508196721311476]"
1,4,2.312665319442749,0.05564648117839607,"[2.4486419677734377, 2.379390907287598, 2.312665319442749]","[0.022913256955810146, 0.03273322422258593, 0.05564648117839607]"
1,10,1.9963348150253295,0.30782029950083195,"[2.0924046993255616, 2.034453582763672, 1.9963348150253295]","[0.26955074875207985, 0.2895174708818636, 0.30782029950083195]"
2,8,2.0434489965438845,0.2840531561461794,"[2.158881139755249, 2.0917654514312742, 2.0434489965438845]","[0.27740863787375414, 0.27906976744186046, 0.2840531561461794]"
2,12,1.9057134866714478,0.3195364238410596,"[2.002016377449036, 1.9541828155517578, 1.9057134866714478]","[0.28807947019867547, 0.3029801324503311, 0.3195364238410596]"
2,0,2.2226677894592286,0.07049180327868852,"[2.348882532119751, 2.2787209510803224, 2.2226677894592286]","[0.027868852459016394, 0.036065573770491806, 0.07049180327868852]"
2,10,1.913323163986206,0.3194675540765391,"[2.008178186416626, 1.9488290786743163, 1.913323163986206]","[0.2928452579034942, 0.30782029950083195, 0.3194675540765391]"
2,5,2.1018877029418945,0.24752475247524752,"[2.2333654403686523, 2.166912889480591, 2.1018877029418945]","[0.2376237623762376, 0.2376237623762376, 0.24752475247524752]"
2,9,2.1168171882629396,0.24671052631578946,"[2.2447211742401123, 2.173939752578735, 2.1168171882629396]","[0.23848684210526316, 0.24342105263157895, 0.24671052631578946]"
2,3,2.172943687438965,0.0845771144278607,"[2.298170328140259, 2.221268320083618, 2.172943687438965]","[0.04145936981757877, 0.04643449419568822, 0.0845771144278607]"
2,14,1.869084620475769,0.33774834437086093,"[1.959717082977295, 1.9113520622253417, 1.869084620475769]","[0.3228476821192053, 0.33774834437086093, 0.33774834437086093]"
2,13,1.8797168970108031,0.33056478405315615,"[1.9715559005737304, 1.9224363088607788, 1.8797168970108031]","[0.30564784053156147, 0.3272425249169435, 0.33056478405315615]"
2,4,2.1612392902374267,0.09983633387888707,"[2.2959941387176515, 2.2327596664428713, 2.1612392902374267]","[0.054009819967266774, 0.07037643207855974, 0.09983633387888707]"
2,7,2.064109754562378,0.24958677685950414,"[2.199456739425659, 2.130912160873413, 2.064109754562378]","[0.23801652892561984, 0.2396694214876033, 0.24958677685950414]"
2,1,2.1584452629089355,0.10264900662251655,"[2.2918880939483643, 2.2200297832489015, 2.1584452629089355]","[0.048013245033112585, 0.06291390728476821, 0.10264900662251655]"
2,6,2.0498430728912354,0.27887788778877887,"[2.1793193340301515, 2.121040964126587, 2.0498430728912354]","[0.26732673267326734, 0.26897689768976896, 0.27887788778877887]"
2,2,2.1839279174804687,0.09195402298850575,"[2.327267551422119, 2.2551959991455077, 2.1839279174804687]","[0.031198686371100164, 0.04433497536945813, 0.09195402298850575]"
2,11,1.9006079196929933,0.31333333333333335,"[1.994536781311035, 1.952090287208557, 1.9006079196929933]","[0.29833333333333334, 0.30666666666666664, 0.31333333333333335]"
3,12,1.8178746938705443,0.33112582781456956,"[1.9113271474838256, 1.863452410697937, 1.8178746938705443]","[0.3079470198675497, 0.31788079470198677, 0.33112582781456956]"
3,13,1.788380765914917,0.34717607973421927,"[1.8868467807769775, 1.841668725013733, 1.788380765914917]","[0.32059800664451826, 0.33222591362126247, 0.34717607973421927]"
3,14,1.782125186920166,0.36423841059602646,"[1.8788168668746947, 1.8301191091537476, 1.782125186920166]","[0.326158940397351, 0.347682119205298, 0.36423841059602646]"
3,4,2.0085588932037353,0.24877250409165302,"[2.1460822582244874, 2.0906789302825928, 2.0085588932037353]","[0.12929623567921442, 0.18003273322422259, 0.24877250409165302]"
3,11,1.8373573780059815,0.32666666666666666,"[1.9191883563995362, 1.871811842918396, 1.8373573780059815]","[0.30666666666666664, 0.30833333333333335, 0.32666666666666666]"
3,3,2.0041314601898192,0.24378109452736318,"[2.147265672683716, 2.0896249771118165, 2.0041314601898192]","[0.1310116086235489, 0.19071310116086235, 0.24378109452736318]"
3,5,1.9829649925231934,0.3250825082508251,"[2.0975847482681274, 2.029587197303772, 1.9829649925231934]","[0.26567656765676567, 0.2854785478547855, 0.3250825082508251]"
3,6,1.9091329336166383,0.38283828382838286,"[2.0382434844970705, 1.9729461669921875, 1.9091329336166383]","[0.30033003300330036, 0.3333333333333333, 0.38283828382838286]"
3,7,1.9209596872329713,0.35206611570247937,"[2.0542245388031004, 1.9848205327987671, 1.9209596872329713]","[0.2628099173553719, 0.3090909090909091, 0.35206611570247937]"
3,0,2.0789677619934084,0.2081967213114754,"[2.2071290969848634, 2.142082405090332, 2.0789677619934084]","[0.12459016393442623, 0.17049180327868851, 0.2081967213114754]"
3,8,1.891894793510437,0.37375415282392027,"[2.0213221073150636, 1.957659697532654, 1.891894793510437]","[0.28903654485049834, 0.3372093023255814, 0.37375415282392027]"
3,2,2.0342634201049803,0.23645320197044334,"[2.171291399002075, 2.0996673583984373, 2.0342634201049803]","[0.12807881773399016, 0.18555008210180624, 0.23645320197044334]"
3,10,1.8278397083282472,0.3277870216306156,"[1.9155205965042115, 1.8624634981155395, 1.8278397083282472]","[0.30449251247920134, 0.3178036605657238, 0.3277870216306156]"
3,1,2.0095292568206786,0.2632450331125828,"[2.1372883319854736, 2.068186569213867, 2.0095292568206786]","[0.1423841059602649, 0.21688741721854304, 0.2632450331125828]"
3,9,1.9802163362503051,0.34210526315789475,"[2.1016631603240965, 2.037044715881348, 1.9802163362503051]","[0.2565789473684211, 0.28125, 0.34210526315789475]"
4,2,1.8885449647903443,0.2676518883415435,"[2.0156150579452516, 1.9535953998565674, 1.8885449647903443]","[0.24302134646962234, 0.2594417077175698, 0.2676518883415435]"
4,11,1.7560924530029296,0.3233333333333333,"[1.8421780347824097, 1.7965747594833374, 1.7560924530029296]","[0.315, 0.31666666666666665, 0.3233333333333333]"
4,13,1.7130381107330321,0.3554817275747508,"[1.8014145612716674, 1.749253511428833, 1.7130381107330321]","[0.33222591362126247, 0.3488372093023256, 0.3554817275747508]"
4,8,1.7584119081497191,0.46677740863787376,"[1.8872654676437377, 1.808071494102478, 1.7584119081497191]","[0.4053156146179402, 0.446843853820598, 0.46677740863787376]"
4,3,1.8584653854370117,0.2769485903814262,"[1.9945541620254517, 1.925498867034912, 1.8584653854370117]","[0.2603648424543947, 0.26533996683250416, 0.2769485903814262]"
4,14,1.6993476390838622,0.36423841059602646,"[1.79480721950531, 1.7478490114212035, 1.6993476390838622]","[0.34602649006622516, 0.35596026490066224, 0.36423841059602646]"
