iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,1.6660091876983643,0.6581196581196581,"[1.7500555038452148, 1.7081283807754517, 1.6660091876983643]","[0.6581196581196581, 0.6581196581196581, 0.6581196581196581]"
0,8,2.3354937553405763,0.0,"[2.538678026199341, 2.423059272766113, 2.3354937553405763]","[0.0, 0.0, 0.0]"
0,12,2.534232807159424,0.07381370826010544,"[2.6641398906707763, 2.593737316131592, 2.534232807159424]","[0.07205623901581722, 0.07381370826010544, 0.07381370826010544]"
0,7,2.296071720123291,0.0,"[2.523273992538452, 2.3982900619506835, 2.296071720123291]","[0.0, 0.0, 0.0]"
0,3,2.3198254108428955,0.0,"[2.5357140064239503, 2.428451156616211, 2.3198254108428955]","[0.0, 0.0, 0.0]"
0,5,2.3479196071624755,0.0,"[2.5498873233795165, 2.4402225971221925, 2.3479196071624755]","[0.0, 0.0, 0.0]"
0,13,2.5418490409851073,0.09059233449477352,"[2.6487565517425535, 2.5830613136291505, 2.5418490409851073]","[0.09059233449477352, 0.09059233449477352, 0.09059233449477352]"
0,2,1.6846887588500976,0.6473594548551959,"[1.7833323240280152, 1.7254996299743652, 1.6846887588500976]","[0.6473594548551959, 0.6473594548551959, 0.6473594548551959]"
0,14,2.505628538131714,0.09424083769633508,"[2.6529934883117674, 2.5856271266937254, 2.505628538131714]","[0.0924956369982548, 0.0924956369982548, 0.09424083769633508]"
0,4,2.3581793308258057,0.0,"[2.5587878227233887, 2.4634804725646973, 2.3581793308258057]","[0.0, 0.0, 0.0]"
0,9,2.3501376628875734,0.0,"[2.5579416751861572, 2.4547828674316405, 2.3501376628875734]","[0.0, 0.0, 0.0]"
0,1,1.5957823038101195,0.690846286701209,"[1.691910696029663, 1.6608717679977416, 1.5957823038101195]","[0.690846286701209, 0.690846286701209, 0.690846286701209]"
0,6,2.3884475231170654,0.0,"[2.5783194065093995, 2.4887060165405273, 2.3884475231170654]","[0.0, 0.0, 0.0]"
0,11,2.5620012283325195,0.08103448275862069,"[2.6821671962738036, 2.6055765628814695, 2.5620012283325195]","[0.08103448275862069, 0.07931034482758621, 0.08103448275862069]"
0,10,2.5478587627410887,0.08188153310104529,"[2.648927354812622, 2.5874351024627686, 2.5478587627410887]","[0.08188153310104529, 0.08188153310104529, 0.08188153310104529]"
1,2,1.6635213851928712,0.6473594548551959,"[1.7589752674102783, 1.722232747077942, 1.6635213851928712]","[0.6473594548551959, 0.6473594548551959, 0.6473594548551959]"
1,12,2.4896971702575685,0.07381370826010544,"[2.582327461242676, 2.5399216175079347, 2.4896971702575685]","[0.07381370826010544, 0.07381370826010544, 0.07381370826010544]"
1,3,2.18568696975708,0.0,"[2.396687316894531, 2.2870275497436525, 2.18568696975708]","[0.0, 0.0, 0.0]"
1,14,2.478559398651123,0.09424083769633508,"[2.602664852142334, 2.522409677505493, 2.478559398651123]","[0.0924956369982548, 0.0924956369982548, 0.09424083769633508]"
1,7,2.1630666732788084,0.0033783783783783786,"[2.372387933731079, 2.266221809387207, 2.1630666732788084]","[0.0, 0.0, 0.0033783783783783786]"
1,1,1.5972993135452271,0.690846286701209,"[1.6838542699813843, 1.6306540966033936, 1.5972993135452271]","[0.690846286701209, 0.690846286701209, 0.690846286701209]"
