0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
AH,AO,AJ,AL,AI,AM,AD,AN,AG,AK,AE,AB,AF,AC,AA
