test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0
2.3022965078900572,0.1,0.018188432157148056,0.010004001600640255,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0
3.940769765027769,0.2528,0.17863624673065007,0.18610873836567143,0.2528,0.365,0.974,0.301,0.568,0.0,0.0,0.0,0.0,0.262,0.058,0,1
3.948616285992276,0.2384,0.1667840324232294,0.21370827894276118,0.23840000000000003,0.33,0.983,0.462,0.39,0.0,0.0,0.0,0.0,0.196,0.023,1,1
3.860105837985968,0.2443,0.16359067512900233,0.20881096336073401,0.24430000000000002,0.894,0.392,0.582,0.424,0.0,0.0,0.0,0.0,0.047,0.104,2,1
3.9290883449991796,0.2992,0.22593579087853008,0.23351004531186675,0.29919999999999997,0.266,0.609,0.593,0.574,0.0,0.0,0.0,0.0,0.771,0.179,3,1
3.9624581291417407,0.294,0.23693820125365672,0.258678362904935,0.294,0.253,0.312,0.523,0.833,0.0,0.0,0.0,0.0,0.62,0.399,4,1
4.179875647186473,0.229,0.15559744488500432,0.19267890153976155,0.22899999999999995,0.0,0.0,0.0,0.0,0.224,0.698,0.859,0.196,0.3,0.013,5,1
4.091904669050958,0.2913,0.1927930096615548,0.22750536933403756,0.2913,0.0,0.0,0.0,0.0,0.245,0.339,0.793,0.042,0.773,0.721,6,1
3.6067559673528002,0.3314,0.24848647917855088,0.204971721677743,0.33140000000000003,0.0,0.0,0.0,0.0,0.51,0.378,0.693,0.639,0.54,0.554,7,1
3.8247025498918665,0.3305,0.23878240603895012,0.21985693939843737,0.3305,0.0,0.0,0.0,0.0,0.14,0.642,0.609,0.45,0.891,0.573,8,1
3.9286328728791253,0.309,0.2286918878221363,0.2189880814670908,0.309,0.0,0.0,0.0,0.0,0.58,0.581,0.457,0.509,0.184,0.779,9,1
6.7787407644235405,0.1485,0.07720704462560483,0.13121570481674505,0.1485,0.989,0.0,0.249,0.122,0.018,0.107,0.0,0.0,0.0,0.0,10,1
3.667640543287727,0.2728,0.18968515648627227,0.18328076623017303,0.2728,0.83,0.409,0.19,0.081,0.412,0.806,0.0,0.0,0.0,0.0,11,1
