iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.9150909343186546,0.6618198874296435,"[1.4228162485010483, 1.1018777209169723, 0.9150909343186546]","[0.46153846153846156, 0.5863039399624765, 0.6618198874296435]"
0,8,0.7502013661644675,0.7245045915901401,"[1.127763731913133, 0.8978866934776306, 0.7502013661644675]","[0.639439342677622, 0.6901884968583857, 0.7245045915901401]"
0,12,0.7181180215933743,0.7288056206088993,"[1.2457148222362293, 0.878367238184985, 0.7181180215933743]","[0.5007025761124122, 0.6758782201405152, 0.7288056206088993]"
0,7,0.7481564536239161,0.7377049180327869,"[1.1474516825242476, 0.8824549208987843, 0.7481564536239161]","[0.6263259402121505, 0.695274831243973, 0.7377049180327869]"
0,3,0.6800597111384074,0.7439729990356798,"[1.1204964283740881, 0.8414285146828854, 0.6800597111384074]","[0.6354869816779171, 0.7082931533269046, 0.7439729990356798]"
0,5,0.7149146993954977,0.7456479690522244,"[1.0881074450232766, 0.8375691843755317, 0.7149146993954977]","[0.6547388781431335, 0.7040618955512572, 0.7456479690522244]"
0,13,0.729906736051335,0.7380952380952381,"[1.3164808942991144, 0.8766600489616394, 0.729906736051335]","[0.4869281045751634, 0.6722689075630253, 0.7380952380952381]"
0,2,0.8998921811580658,0.6605890603085554,"[1.4424789477797115, 1.0822797733194687, 0.8998921811580658]","[0.44974287050023376, 0.5773726040205703, 0.6605890603085554]"
0,14,0.6993916762225768,0.7434944237918215,"[1.3080809765002306, 0.861897861256319, 0.6993916762225768]","[0.48698884758364314, 0.6877323420074349, 0.7434944237918215]"
0,4,0.7039123493613619,0.7458857696030978,"[1.092864706660762, 0.8349863146290635, 0.7039123493613619]","[0.6515004840271055, 0.7139399806389157, 0.7458857696030978]"
0,9,0.7541712215452483,0.7317191283292979,"[1.0761586806990884, 0.8669463233514265, 0.7541712215452483]","[0.6595641646489104, 0.7138014527845037, 0.7317191283292979]"
0,1,0.9576098708545461,0.6372180451127819,"[1.4659844461609335, 1.125896511708989, 0.9576098708545461]","[0.4544172932330827, 0.5643796992481203, 0.6372180451127819]"
0,6,0.7714535648172552,0.7309352517985611,"[1.146419843037923, 0.8613087571028507, 0.7714535648172552]","[0.6302158273381295, 0.702158273381295, 0.7309352517985611]"
0,11,0.7263700330958647,0.7340525328330206,"[1.2660704675842733, 0.9202781407272115, 0.7263700330958647]","[0.49671669793621015, 0.6613508442776735, 0.7340525328330206]"
0,10,0.7804213709690991,0.7002331002331003,"[1.3068662759135752, 0.9502240173956927, 0.7804213709690991]","[0.49743589743589745, 0.6466200466200466, 0.7002331002331003]"
1,2,0.8239610107506022,0.68630201028518,"[1.1586318857529585, 0.9396751189933104, 0.8239610107506022]","[0.5530621785881253, 0.6503038803179055, 0.68630201028518]"
1,12,0.6453173861784094,0.7564402810304449,"[0.9850896456662346, 0.7774761599652907, 0.6453173861784094]","[0.6309133489461358, 0.7156908665105386, 0.7564402810304449]"
1,3,0.6315939868941451,0.7579556412729026,"[0.9348977677749865, 0.741677957050728, 0.6315939868941451]","[0.6822565091610414, 0.7256509161041466, 0.7579556412729026]"
1,14,0.6480045572799795,0.7630111524163569,"[0.9892347157001495, 0.7482882913421182, 0.6480045572799795]","[0.6403345724907064, 0.733271375464684, 0.7630111524163569]"
1,7,0.681707579981197,0.7449373191899711,"[0.9365338105143923, 0.8037256670720649, 0.681707579981197]","[0.6928640308582449, 0.712632594021215, 0.7449373191899711]"
1,1,0.8391375646871679,0.6781015037593985,"[1.1918802857398987, 0.9808972460382125, 0.8391375646871679]","[0.5484022556390977, 0.6165413533834586, 0.6781015037593985]"
1,5,0.6403118679017732,0.776595744680851,"[0.9089480927496245, 0.7230792650670717, 0.6403118679017732]","[0.7030947775628626, 0.7398452611218569, 0.776595744680851]"
1,9,0.6459654262571624,0.7757869249394673,"[0.9227924220489733, 0.7679752508799235, 0.6459654262571624]","[0.699273607748184, 0.7278450363196126, 0.7757869249394673]"
1,6,0.6668989875099876,0.7654676258992805,"[0.9482613747770136, 0.7571801127809467, 0.6668989875099876]","[0.6882494004796164, 0.7309352517985611, 0.7654676258992805]"
1,8,0.6795547667777899,0.7462542290961818,"[0.967791761412765, 0.8012084563573202, 0.6795547667777899]","[0.6703721604639923, 0.7080715321411309, 0.7462542290961818]"
1,13,0.6128897912362042,0.7815126050420168,"[0.9843394318047691, 0.744653302080491, 0.6128897912362042]","[0.6395891690009337, 0.7357609710550888, 0.7815126050420168]"
1,11,0.6539125065593159,0.7725140712945591,"[1.0267899387023027, 0.8246017869781045, 0.6539125065593159]","[0.6289868667917449, 0.6969981238273921, 0.7725140712945591]"
1,0,0.8242133259773254,0.7077861163227017,"[1.162925593993243, 0.9795960117788876, 0.8242133259773254]","[0.5633208255159474, 0.6364915572232646, 0.7077861163227017]"
1,4,0.6407086235104185,0.7657308809293321,"[0.9303685173843846, 0.7169278119549607, 0.6407086235104185]","[0.6902226524685382, 0.7415295256534365, 0.7657308809293321]"
1,10,0.6671647341812358,0.7589743589743589,"[1.1177629092160393, 0.8448904139154098, 0.6671647341812358]","[0.5958041958041959, 0.6820512820512821, 0.7589743589743589]"
2,8,0.5248208502025316,0.8018366360560657,"[0.839116349364772, 0.685493402408831, 0.5248208502025316]","[0.7066215563073949, 0.7433542774287095, 0.8018366360560657]"
2,12,0.5471297476221534,0.8065573770491803,"[0.8691566972171559, 0.6843265496632632, 0.5471297476221534]","[0.6885245901639344, 0.7475409836065574, 0.8065573770491803]"
2,0,0.6907178356366999,0.7546904315196998,"[1.0331048947923325, 0.8247926428037531, 0.6907178356366999]","[0.6163227016885553, 0.6932457786116323, 0.7546904315196998]"
2,10,0.6495945891913246,0.7575757575757576,"[0.9206293716150171, 0.764241157209172, 0.6495945891913246]","[0.6629370629370629, 0.7137529137529137, 0.7575757575757576]"
2,5,0.5130374440641114,0.8152804642166345,"[0.7662140130996704, 0.6376294909101544, 0.5130374440641114]","[0.7388781431334622, 0.7707930367504836, 0.8152804642166345]"
2,9,0.5639420684539911,0.8004842615012107,"[0.7954547540708021, 0.6747946260553418, 0.5639420684539911]","[0.7336561743341404, 0.762227602905569, 0.8004842615012107]"
2,3,0.507835949009115,0.8114754098360656,"[0.8077930230082888, 0.6540343336986773, 0.507835949009115]","[0.7140790742526519, 0.7565091610414658, 0.8114754098360656]"
2,14,0.5389661727582707,0.800185873605948,"[0.8735348003752091, 0.6547608954064986, 0.5389661727582707]","[0.6830855018587361, 0.758364312267658, 0.800185873605948]"
2,13,0.564865058835815,0.7955182072829131,"[0.8632227024611305, 0.6892257350332597, 0.564865058835815]","[0.6965452847805789, 0.7563025210084033, 0.7955182072829131]"
