0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
AC,AA,AE,AB,AD,AC,AD,AE,AA,AB,AA,AB,AD,AC,AE
