iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,2.1439858832991265,0.18006795016987542,"[2.264768192567021, 2.204019871102758, 2.1439858832991265]","[0.18006795016987542, 0.18006795016987542, 0.18006795016987542]"
0,8,2.154637609619692,0.1779117979645684,"[2.261904567121023, 2.2054109716989907, 2.154637609619692]","[0.16961929890689786, 0.1699962306822465, 0.1779117979645684]"
0,12,2.1665079849106923,0.16835395575553055,"[2.2726048628489175, 2.215873508226304, 2.1665079849106923]","[0.12860892388451445, 0.17060367454068243, 0.16835395575553055]"
0,7,2.153809118838537,0.1634795650543682,"[2.2628624382473173, 2.205179384776524, 2.153809118838537]","[0.156355455568054, 0.15935508061492312, 0.1634795650543682]"
0,3,2.143335902547262,0.17489634376177912,"[2.265319806983672, 2.204221435340054, 2.143335902547262]","[0.17489634376177912, 0.17489634376177912, 0.17489634376177912]"
0,5,2.154303544975189,0.17780294450736125,"[2.26041100685855, 2.204518944384104, 2.154303544975189]","[0.17214043035107587, 0.17402793506983769, 0.17780294450736125]"
0,13,2.168795565524733,0.1711270260082925,"[2.2729202236037658, 2.217015025127365, 2.168795565524733]","[0.12174896343761779, 0.17188088955898984, 0.1711270260082925]"
0,2,2.141614068122137,0.20622422197225346,"[2.26621166013536, 2.2042230736641657, 2.141614068122137]","[0.161604799400075, 0.16947881514810648, 0.20622422197225346]"
0,14,2.1661894009226845,0.18555929667040777,"[2.272033926986513, 2.215204426220485, 2.1661894009226845]","[0.12644968200523757, 0.17770295548073325, 0.18555929667040777]"
0,4,2.1434845555396307,0.1732136176580621,"[2.265571483543941, 2.203920676594689, 2.1434845555396307]","[0.1717171717171717, 0.1717171717171717, 0.1732136176580621]"
0,9,2.1529453141348704,0.18855218855218855,"[2.260853750365121, 2.2038142567589167, 2.1529453141348704]","[0.16797605686494577, 0.16647961092405536, 0.18855218855218855]"
0,1,2.1453663125095597,0.19404672192916353,"[2.267114943768605, 2.2055049086191567, 2.1453663125095597]","[0.1492087415222306, 0.19216277317256972, 0.19404672192916353]"
0,6,2.1551238370228964,0.17068575734740016,"[2.2623516019568384, 2.2058239270405595, 2.1551238370228964]","[0.16314996232102486, 0.1639035418236624, 0.17068575734740016]"
0,11,2.1677659276020096,0.1733232856066315,"[2.2722926024931023, 2.216293915208564, 2.1677659276020096]","[0.12660135644310475, 0.17068575734740016, 0.1733232856066315]"
0,10,2.1689177966979614,0.17327293318233294,"[2.2731803497636176, 2.216916518039014, 2.1689177966979614]","[0.11589278973197432, 0.16534541336353342, 0.17327293318233294]"
1,2,0.6756235002761796,0.7705286839145107,"[2.173417959894453, 1.3022738269397192, 0.6756235002761796]","[0.23809523809523808, 0.4810648668916385, 0.7705286839145107]"
1,12,1.1559247090702964,0.5553055868016498,"[2.2322036056291488, 1.979217400153478, 1.1559247090702964]","[0.16122984626921635, 0.22609673790776152, 0.5553055868016498]"
1,3,0.6928508978292166,0.7583867320015077,"[2.1738944599427374, 1.3128656019647438, 0.6928508978292166]","[0.20580474934036938, 0.473803241613268, 0.7583867320015077]"
1,14,1.177203519713311,0.5469509913954358,"[2.23265198298863, 2.00083657673427, 1.177203519713311]","[0.16947250280583614, 0.22072577628133183, 0.5469509913954358]"
