iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.6605464356338105,0.7615030674846626,"[2.2376306405881556, 1.7565235408341013, 0.6605464356338105]","[0.29984662576687116, 0.3665644171779141, 0.7615030674846626]"
0,8,0.899335151469266,0.6802800466744457,"[2.256326366353918, 1.9658030418702115, 0.899335151469266]","[0.24192921042395954, 0.3632827693504473, 0.6802800466744457]"
0,12,1.144126889909186,0.599845797995374,"[2.197112885917105, 1.9188060920412948, 1.144126889909186]","[0.3446414803392444, 0.3608326908249807, 0.599845797995374]"
0,7,0.8705915429709871,0.6804642166344294,"[2.2545757117094816, 1.9568013379603257, 0.8705915429709871]","[0.2460348162475822, 0.3617021276595745, 0.6804642166344294]"
0,3,0.8181893130143484,0.7122274143302181,"[2.2527298279750494, 1.8964179003680195, 0.8181893130143484]","[0.23169781931464176, 0.3718847352024922, 0.7122274143302181]"
0,5,0.86120307960628,0.6909372579395817,"[2.2523707901989973, 1.9230790270699396, 0.86120307960628]","[0.2509682416731216, 0.36715724244771497, 0.6909372579395817]"
0,13,1.087880696043556,0.6167502894635276,"[2.198559675687625, 1.9154100197332877, 1.087880696043556]","[0.34735623311462754, 0.36395214203010423, 0.6167502894635276]"
0,2,0.6409703914712115,0.7666922486569455,"[2.236596645378485, 1.739367524298226, 0.6409703914712115]","[0.30775134305448965, 0.3787413660782809, 0.7666922486569455]"
0,14,1.0955464105780532,0.619431643625192,"[2.2003241108685003, 1.905423609221854, 1.0955464105780532]","[0.32872503840245776, 0.3533026113671275, 0.619431643625192]"
0,4,0.9031825749962418,0.6768813033359193,"[2.254781307997527, 1.936594032946928, 0.9031825749962418]","[0.23933281613653995, 0.3537626066718386, 0.6768813033359193]"
0,9,0.9087107733443931,0.6771196283391405,"[2.256487086967186, 1.9727868518711609, 0.9087107733443931]","[0.23848238482384823, 0.34417344173441733, 0.6771196283391405]"
0,1,0.6252202237161194,0.7695267410542517,"[2.24015385057868, 1.7804619786215992, 0.6252202237161194]","[0.2993459022701039, 0.36437091188918813, 0.7695267410542517]"
0,6,0.8716050311003203,0.701937984496124,"[2.252857443727093, 1.951939108930988, 0.8716050311003203]","[0.25232558139534883, 0.3608527131782946, 0.701937984496124]"
0,11,1.1303976111941867,0.622007722007722,"[2.2025659849614274, 1.9270489186416437, 1.1303976111941867]","[0.32895752895752894, 0.35096525096525094, 0.622007722007722]"
0,10,1.070450868135617,0.6419180201082754,"[2.1946199205186634, 1.8953957263334298, 1.070450868135617]","[0.36040216550657383, 0.37896365042536734, 0.6419180201082754]"
1,2,0.3447827160267568,0.8998465080583269,"[0.6583136678105448, 0.38415079400306795, 0.3447827160267568]","[0.7743668457405987, 0.8806600153491941, 0.8998465080583269]"
1,12,0.4812911810671411,0.8361603700848111,"[0.8676772905831657, 0.567433501525623, 0.4812911810671411]","[0.7062451811873555, 0.812644564379337, 0.8361603700848111]"
1,3,0.4064206972166344,0.8555295950155763,"[0.6260277969233784, 0.44757643231639155, 0.4064206972166344]","[0.7947819314641744, 0.8415109034267912, 0.8555295950155763]"
1,14,0.4437547122559896,0.8536866359447005,"[0.8844480907044759, 0.5584062608640369, 0.4437547122559896]","[0.7016129032258065, 0.8248847926267281, 0.8536866359447005]"
1,7,0.40458034494040923,0.8433268858800773,"[0.6161852065059874, 0.4283203508382962, 0.40458034494040923]","[0.7934235976789168, 0.8560928433268858, 0.8433268858800773]"
1,1,0.3186272748904984,0.9030396306271643,"[0.5813333588402446, 0.39061264775511695, 0.3186272748904984]","[0.7906887264332435, 0.8734128510965756, 0.9030396306271643]"
1,5,0.42028329530615866,0.8474051123160341,"[0.6253422018554475, 0.4318840018025151, 0.42028329530615866]","[0.7846630518977536, 0.8435321456235476, 0.8474051123160341]"
1,9,0.4381290370667422,0.8497870692992644,"[0.6666102674272325, 0.48505750519258006, 0.4381290370667422]","[0.7909407665505227, 0.8366240805265196, 0.8497870692992644]"
1,6,0.4006790220737457,0.8550387596899225,"[0.6060295763575001, 0.41668924707689403, 0.4006790220737457]","[0.7945736434108527, 0.8534883720930233, 0.8550387596899225]"
1,8,0.4211251324525586,0.8451964216258265,"[0.6455867450546335, 0.4629230107422228, 0.4211251324525586]","[0.7856865033061066, 0.8296382730455076, 0.8451964216258265]"
1,13,0.4605219483743479,0.8525665766113469,"[0.8851046072848049, 0.5897855797299633, 0.4605219483743479]","[0.6885372443072173, 0.8131995368583559, 0.8525665766113469]"
1,11,0.44791067198470785,0.8540540540540541,"[0.8966789565704487, 0.5577618842139657, 0.44791067198470785]","[0.6996138996138996, 0.8096525096525097, 0.8540540540540541]"
1,0,0.3327211377824225,0.9033742331288344,"[0.6412465650497413, 0.39489477791073846, 0.3327211377824225]","[0.7787576687116564, 0.8719325153374233, 0.9033742331288344]"
1,4,0.4425784996998163,0.8421256788207913,"[0.6762170813701771, 0.4729821902734262, 0.4425784996998163]","[0.7672614429790535, 0.8204034134988363, 0.8421256788207913]"
1,10,0.44697252412637073,0.8565351894818252,"[0.8357766958666436, 0.5268176492349601, 0.44697252412637073]","[0.7188708430007734, 0.8225058004640371, 0.8565351894818252]"
