iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.7521234474531034,0.7170245398773006,"[2.242064912144731, 1.8704154476886843, 0.7521234474531034]","[0.26380368098159507, 0.3500766871165644, 0.7170245398773006]"
0,8,0.9883268891293325,0.6374951380785686,"[2.2704585363835466, 1.9784525103039212, 0.9883268891293325]","[0.18280824581874758, 0.3796188253597822, 0.6374951380785686]"
0,12,1.8025857668097427,0.43754818812644564,"[2.2191135650727807, 2.10046784470721, 1.8025857668097427]","[0.26754047802621433, 0.3446414803392444, 0.43754818812644564]"
0,7,0.9486434912240064,0.6618955512572534,"[2.2691331733891995, 1.9563497452088345, 0.9486434912240064]","[0.17408123791102514, 0.3806576402321083, 0.6618955512572534]"
0,3,0.8709779293448837,0.6814641744548287,"[2.2666411841357195, 1.8936950969107358, 0.8709779293448837]","[0.1927570093457944, 0.36253894080996885, 0.6814641744548287]"
0,5,0.9313236217439911,0.663439194422928,"[2.2672438739258567, 1.9458583681671708, 0.9313236217439911]","[0.2056545313710302, 0.3710302091402014, 0.663439194422928]"
0,13,1.8223007093241186,0.42454650714010034,"[2.22028966008881, 2.1004258850474415, 1.8223007093241186]","[0.2751833269008105, 0.348900038595137, 0.42454650714010034]"
0,2,0.7283587999096731,0.7240982348426708,"[2.2423157023220526, 1.8711742918665817, 0.7283587999096731]","[0.2724481964696853, 0.3499616270145817, 0.7240982348426708]"
0,14,1.7593060339369424,0.46697388632872505,"[2.22039557375559, 2.1008452046208266, 1.7593060339369424]","[0.2511520737327189, 0.3298771121351767, 0.46697388632872505]"
0,4,0.9910512537132075,0.6373157486423584,"[2.2694207856684554, 1.961551226215598, 0.9910512537132075]","[0.19239720713731576, 0.3700543056633049, 0.6373157486423584]"
0,9,0.9542296646553793,0.6542779713511421,"[2.269754221409927, 1.9468270584389016, 0.9542296646553793]","[0.1583430120015486, 0.36585365853658536, 0.6542779713511421]"
0,1,0.7504040495288081,0.7214313197383609,"[2.2437147599894827, 1.9202464033917683, 0.7504040495288081]","[0.2639476721816083, 0.3366679492112351, 0.7214313197383609]"
0,6,0.9370849467354057,0.6674418604651163,"[2.2679256480417136, 1.9509724408020208, 0.9370849467354057]","[0.18643410852713177, 0.3817829457364341, 0.6674418604651163]"
0,11,1.8190193632502614,0.46563706563706564,"[2.2219936906555553, 2.106606333344071, 1.8190193632502614]","[0.2548262548262548, 0.32895752895752894, 0.46563706563706564]"
0,10,1.7942946590023277,0.43116782675947407,"[2.218198193444146, 2.096008057947512, 1.7942946590023277]","[0.28731631863882445, 0.35924207269914926, 0.43116782675947407]"
1,2,0.3376669155933508,0.8960092095165004,"[0.7201929428591961, 0.38571576110836936, 0.3376669155933508]","[0.7555640828856485, 0.8825786646201075, 0.8960092095165004]"
1,12,0.47537927165990923,0.8377023901310717,"[0.9407511229467828, 0.576644831496041, 0.47537927165990923]","[0.6858134155744025, 0.8060909791827294, 0.8377023901310717]"
1,3,0.3954888243734101,0.8555295950155763,"[0.5995281079301128, 0.4489810783186077, 0.3954888243734101]","[0.7928348909657321, 0.8473520249221184, 0.8555295950155763]"
1,14,0.45791646710983136,0.8448540706605223,"[0.9727462493791813, 0.5695692131795534, 0.45791646710983136]","[0.6705069124423964, 0.804915514592934, 0.8448540706605223]"
1,7,0.40055803917808297,0.8526112185686654,"[0.6041475280567452, 0.42156756936032097, 0.40055803917808297]","[0.7880077369439071, 0.8448742746615087, 0.8526112185686654]"
1,1,0.30476518002588576,0.9065025009619084,"[0.6678297407016521, 0.4059968554392094, 0.30476518002588576]","[0.7633705271258177, 0.8611004232397076, 0.9065025009619084]"
1,5,0.40837206139608667,0.8524399690162665,"[0.6142119544523733, 0.4328123761547936, 0.40837206139608667]","[0.7943454686289698, 0.8315259488768396, 0.8524399690162665]"
1,9,0.43421986993448236,0.8536585365853658,"[0.648316443518356, 0.4643044067017826, 0.43421986993448236]","[0.7851335656213705, 0.8385598141695703, 0.8536585365853658]"
1,6,0.39721184601018455,0.8627906976744186,"[0.599256494530925, 0.4408201836509469, 0.39721184601018455]","[0.7914728682170543, 0.8449612403100775, 0.8627906976744186]"
