test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.2990860562575492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4,0
2.3160485294130115,0.3386243386243386,0.16864295125164688,0.1128747795414462,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,21,0
2.2981712441695366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,9,0
2.300392414394178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0
2.311768955654568,0.3548951048951049,0.17462365591397852,0.1182983682983683,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,24,0
2.3015865484873452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,8,0
2.3178502983517117,0.3380035026269702,0.16841186736474692,0.11266783420899007,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,26,0
2.319694903161791,0.3321678321678322,0.1662292213473316,0.11072261072261073,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,25,0
2.3176266484790378,0.3192982456140351,0.16134751773049646,0.1064327485380117,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,27,0
2.3036259412765503,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,16,0
2.3006819298392847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,7,0
2.3046974341074624,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,10,0
2.2971888648139105,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,15,0
2.3000628815756903,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,17,0
2.3174003230200872,0.32685512367491165,0.164225477141589,0.10895170789163722,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,23,0
2.3157404131359525,0.3508771929824561,0.17316017316017315,0.11695906432748537,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,20,0
2.298920234044393,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,11,0
2.3154959546195135,0.3374558303886926,0.1682078379568472,0.11248527679623087,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,28,0
2.300617390208774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,3,0
2.3029622634251914,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,12,0
2.2978742875550924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,5,0
2.306430869632297,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,18,0
2.302938077184889,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,19,0
2.300715584503977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,1,0
2.3160794178644815,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,22,0
2.3065475357903376,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,14,0
2.298736471878855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,2,0
2.2940294617100765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,6,0
2.3184636566374035,0.3298429319371728,0.16535433070866143,0.1099476439790576,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,29,0
2.3058321475982666,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,13,0
1.0402116543716855,0.3456140350877193,0.17795583621271693,0.4477699530516432,0.3371647509578544,nan,nan,nan,nan,1.0,0.011494252873563218,0.0,nan,nan,nan,19,1
1.373028959098615,0.4592720970537262,0.32568069375117076,0.29631883062589587,0.4533898305084746,1.0,0.8135593220338984,0.0,0.0,nan,nan,nan,nan,nan,nan,7,1
1.0230456325742934,0.3968531468531469,0.28677692119040765,0.4350154412247848,0.3976757120693188,nan,nan,nan,nan,0.2033898305084746,0.0,0.9896373056994818,nan,nan,nan,15,1
1.0887508922153049,0.3345008756567426,0.16710411198600175,0.11150029188558086,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,26,1
1.0863666998015509,0.3897707231040564,0.2839354970402123,0.4324090389192865,0.398493213710605,nan,nan,nan,nan,0.20634920634920634,0.0,0.9891304347826086,nan,nan,nan,17,1
1.0307469964027405,0.3397548161120841,0.1690631808278867,0.11325160537069469,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,16,1
1.3095841345034147,0.2807625649913345,0.1784218027901352,0.31136363636363634,0.2975352112676056,0.19014084507042253,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,1,1
1.1044133106867473,0.5441696113074205,0.44284423796618916,0.4577093011437352,0.5271027063634706,nan,nan,nan,nan,nan,nan,nan,0.5970149253731343,0.0,0.9842931937172775,28,1
1.353268209256624,0.2556131260794473,0.10292072322670376,0.0647985989492119,0.25,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,4,1
1.1430282990137737,0.3583916083916084,0.1758901758901759,0.11946386946386946,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0,24,1
1.3404351671536763,0.22086956521739132,0.09045584045584046,0.05521739130434783,0.25,0.0,0.0,1.0,0.0,nan,nan,nan,nan,nan,nan,8,1
1.0753368271721735,0.37543859649122807,0.18197278911564627,0.12514619883040937,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0,27,1
1.0577608512507544,0.35901926444833626,0.17611683848797252,0.11967308814944543,0.3333333333333333,nan,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,10,1
1.5356923090784174,0.21070811744386875,0.08701854493580599,0.05267702936096719,0.25,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0,1
1.0115413963794708,0.3939393939393939,0.2549107812265707,0.4415343915343915,0.3752620545073375,nan,nan,nan,nan,1.0,0.12578616352201258,0.0,nan,nan,nan,18,1
1.312451057963901,0.3246527777777778,0.23772685252761153,0.31511406844106465,0.34191176470588236,0.36764705882352944,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,3,1
1.1192475424872503,0.34035087719298246,0.1692844677137871,0.11345029239766082,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,14,1
1.3409381916648464,0.49569707401032703,0.3396728192743373,0.26043280273489666,0.49572649572649574,0.9829059829059829,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,2,1
1.1872176594204373,0.33687943262411346,0.16799292661361628,0.11229314420803782,0.3333333333333333,nan,nan,nan,nan,0.0,0.0,1.0,nan,nan,nan,12,1
1.1203216413656871,0.3670212765957447,0.17898832684824903,0.12234042553191489,0.3333333333333333,nan,nan,nan,nan,1.0,0.0,0.0,nan,nan,nan,13,1
1.341277141320078,0.44482758620689655,0.33909426481230354,0.2932558139534884,0.46402877697841727,0.9496402877697842,0.0,0.9064748201438849,0.0,nan,nan,nan,nan,nan,nan,5,1
1.4776496573498374,0.2772963604852686,0.14965269090085903,0.1163316295392127,0.2774390243902439,1.0,0.0,0.10975609756097561,0.0,nan,nan,nan,nan,nan,nan,6,1
1.079261389043596,0.34965034965034963,0.17271157167530224,0.11655011655011654,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,25,1
1.097930736011929,0.3298429319371728,0.16535433070866143,0.1099476439790576,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,29,1
1.0909667876031663,0.3386243386243386,0.16864295125164688,0.1128747795414462,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,21,1
1.1011401414871216,0.3508771929824561,0.17316017316017315,0.11695906432748537,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,1.0,20,1
