iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,4,2.224064533100572,0.17216117216117216,"[2.297043661738551, 2.2591015072756035, 2.224064533100572]","[0.0967032967032967, 0.1597069597069597, 0.17216117216117216]"
0,21,2.2062535285949707,0.16936671575846834,"[2.276352516440458, 2.240493475004684, 2.2062535285949707]","[0.16126656848306334, 0.15979381443298968, 0.16936671575846834]"
0,9,2.2238117206928343,0.18215069495245062,"[2.2963382643322614, 2.2588176117386927, 2.2238117206928343]","[0.09509875640087784, 0.16532553035844916, 0.18215069495245062]"
0,0,2.225055467250735,0.17362637362637362,"[2.297299473784691, 2.2603750062543293, 2.225055467250735]","[0.08278388278388278, 0.15897435897435896, 0.17362637362637362]"
0,24,2.207396385281585,0.17352941176470588,"[2.277748146722483, 2.241421993388686, 2.207396385281585]","[0.1411764705882353, 0.1661764705882353, 0.17352941176470588]"
0,8,2.224009918612103,0.19705882352941176,"[2.297409722971362, 2.2592381599337554, 2.224009918612103]","[0.09558823529411764, 0.16691176470588234, 0.19705882352941176]"
0,26,2.2056988948999448,0.18453683442742524,"[2.2747780944025795, 2.239708434703738, 2.2056988948999448]","[0.1714077315827863, 0.17213712618526622, 0.18453683442742524]"
0,25,2.20710059653881,0.1706959706959707,"[2.2761075663012127, 2.241395212883173, 2.20710059653881]","[0.1706959706959707, 0.1706959706959707, 0.1706959706959707]"
0,27,2.2062804310820825,0.17802197802197803,"[2.2770174658575724, 2.240362993506498, 2.2062804310820825]","[0.14652014652014653, 0.147985347985348, 0.17802197802197803]"
0,16,2.2138059915498247,0.16093635698610095,"[2.28225470698157, 2.246547976205515, 2.2138059915498247]","[0.1485003657644477, 0.1485003657644477, 0.16093635698610095]"
0,7,2.2240851479907366,0.16398243045387995,"[2.2970629126526587, 2.2594946317894515, 2.2240851479907366]","[0.095900439238653, 0.16617862371888725, 0.16398243045387995]"
0,10,2.214464165443598,0.16299559471365638,"[2.282844992571099, 2.2472304022589396, 2.214464165443598]","[0.1512481644640235, 0.1512481644640235, 0.16299559471365638]"
0,15,2.214388215264609,0.16079295154185022,"[2.2823693142380823, 2.2466521096784016, 2.214388215264609]","[0.14537444933920704, 0.14904552129221732, 0.16079295154185022]"
0,17,2.2146389927974965,0.15700660308143802,"[2.282897439113883, 2.2470221464024034, 2.2146389927974965]","[0.15627292736610418, 0.15627292736610418, 0.15700660308143802]"
0,23,2.2081636439922243,0.16023738872403562,"[2.2767273437145144, 2.2418898371763007, 2.2081636439922243]","[0.16172106824925817, 0.16246290801186944, 0.16023738872403562]"
0,20,2.2064147494560062,0.16458486407053638,"[2.2770503731661065, 2.2409477511117624, 2.2064147494560062]","[0.14768552534900808, 0.1535635562086701, 0.16458486407053638]"
0,11,2.2134718340496686,0.16372980910425844,"[2.2828875974167224, 2.2461467620938325, 2.2134718340496686]","[0.13803230543318648, 0.14170337738619676, 0.16372980910425844]"
0,28,2.2068680829780045,0.17352941176470588,"[2.2756006274112437, 2.2403483945269915, 2.2068680829780045]","[0.16176470588235295, 0.16470588235294117, 0.17352941176470588]"
0,3,2.223847378131955,0.17582417582417584,"[2.296384256939555, 2.2588461887004763, 2.223847378131955]","[0.08791208791208792, 0.17582417582417584, 0.17582417582417584]"
0,12,2.2134776226309842,0.16458486407053638,"[2.281629567922548, 2.2457257481508477, 2.2134776226309842]","[0.1623806024981631, 0.1623806024981631, 0.16458486407053638]"
0,5,2.2245528587075167,0.19720382634289918,"[2.297386795975441, 2.259657005931056, 2.2245528587075167]","[0.08609271523178808, 0.17071376011773362, 0.19720382634289918]"
0,18,2.2139216633730157,0.17920353982300885,"[2.2818774345309234, 2.2457829907883045, 2.2139216633730157]","[0.13938053097345132, 0.13864306784660768, 0.17920353982300885]"
0,19,2.211788349373396,0.16374269005847952,"[2.280055744703426, 2.2446206946705662, 2.211788349373396]","[0.1615497076023392, 0.1615497076023392, 0.16374269005847952]"
0,1,2.2248534823572914,0.184287812041116,"[2.296957437382188, 2.259855414545813, 2.2248534823572914]","[0.09177679882525698, 0.17988252569750368, 0.184287812041116]"
0,22,2.208274236945219,0.1713235294117647,"[2.278525618619697, 2.242706825566846, 2.208274236945219]","[0.12279411764705882, 0.13602941176470587, 0.1713235294117647]"
0,14,2.2146841315336006,0.15565345080763582,"[2.282008226527724, 2.24708920301393, 2.2146841315336006]","[0.1527165932452276, 0.15198237885462554, 0.15565345080763582]"
0,2,2.2246813663216525,0.17547723935389134,"[2.2973613018213315, 2.259952606156815, 2.2246813663216525]","[0.10719530102790015, 0.17547723935389134, 0.17547723935389134]"
0,6,2.223349399344866,0.18782098312545856,"[2.2960812380147533, 2.258634833402412, 2.223349399344866]","[0.11005135730007337, 0.18048422597212033, 0.18782098312545856]"
0,29,2.205643049506254,0.18453683442742524,"[2.2756948360176974, 2.240777093310689, 2.205643049506254]","[0.15681983953318746, 0.16338439095550694, 0.18453683442742524]"
0,13,2.2151738488396933,0.1570796460176991,"[2.2821136297181597, 2.2465447714162425, 2.2151738488396933]","[0.15191740412979352, 0.15339233038348082, 0.1570796460176991]"
1,19,2.179545513419218,0.1915204678362573,"[2.289705465006274, 2.242666238962218, 2.179545513419218]","[0.16447368421052633, 0.16593567251461988, 0.1915204678362573]"
1,7,2.0581692512645278,0.19472913616398244,"[2.267973312111788, 2.213940149129823, 2.0581692512645278]","[0.1581259150805271, 0.2020497803806735, 0.19472913616398244]"
1,15,2.1858571518299192,0.18722466960352424,"[2.291213717571525, 2.244621659434119, 2.1858571518299192]","[0.14977973568281938, 0.1828193832599119, 0.18722466960352424]"
1,26,2.087923440822335,0.18818380743982493,"[2.252523899078369, 2.2057782328406046, 2.087923440822335]","[0.17797228300510576, 0.19183078045222465, 0.18818380743982493]"
1,17,2.1807976157166236,0.15920763022743947,"[2.2903453416602555, 2.2435248618902164, 2.1807976157166236]","[0.15480557593543653, 0.17168011738811445, 0.15920763022743947]"
1,16,2.1778978303421375,0.18068763716166789,"[2.291110931440841, 2.2440144184023834, 2.1778978303421375]","[0.1506949524506218, 0.1711777615215801, 0.18068763716166789]"
1,1,2.0747359907904337,0.17254038179148312,"[2.2682229918102887, 2.2166707682055096, 2.0747359907904337]","[0.14904552129221732, 0.18869309838472834, 0.17254038179148312]"
1,28,2.098385436590328,0.1875,"[2.2529890093692515, 2.206069530442704, 2.098385436590328]","[0.17647058823529413, 0.18970588235294117, 0.1875]"
1,4,2.056712885235631,0.19706959706959706,"[2.2679953575134277, 2.2135028672772785, 2.056712885235631]","[0.15164835164835164, 0.19047619047619047, 0.19706959706959706]"
1,24,2.0813912513644195,0.19852941176470587,"[2.254638727321181, 2.205689313799836, 2.0813912513644195]","[0.1661764705882353, 0.1860294117647059, 0.19852941176470587]"
1,8,2.0800085594487743,0.1963235294117647,"[2.268550917159679, 2.2160460560820825, 2.0800085594487743]","[0.15294117647058825, 0.20073529411764707, 0.1963235294117647]"
1,27,2.0982111470643865,0.19413919413919414,"[2.2541118111721303, 2.205942614133968, 2.0982111470643865]","[0.1641025641025641, 0.1772893772893773, 0.19413919413919414]"
1,10,2.1855229333389636,0.1894273127753304,"[2.293271780014038, 2.246485809947169, 2.1855229333389636]","[0.1461086637298091, 0.15418502202643172, 0.1894273127753304]"
1,0,2.0679877691490707,0.1912087912087912,"[2.267990084581597, 2.2158510241397593, 2.0679877691490707]","[0.14725274725274726, 0.18754578754578755, 0.1912087912087912]"
1,18,2.180225688357686,0.20353982300884957,"[2.2927159320476442, 2.2449540204780045, 2.180225688357686]","[0.1430678466076696, 0.16887905604719763, 0.20353982300884957]"
1,3,2.069642102995584,0.1956043956043956,"[2.2676512086114218, 2.214916317961937, 2.069642102995584]","[0.15604395604395604, 0.18681318681318682, 0.1956043956043956]"
1,14,2.1895194330880807,0.17547723935389134,"[2.29209333242372, 2.246888371401055, 2.1895194330880807]","[0.14977973568281938, 0.14390602055800295, 0.17547723935389134]"
1,2,2.059044128240541,0.19016152716593246,"[2.26812744140625, 2.2142176794451336, 2.059044128240541]","[0.157856093979442, 0.18722466960352424, 0.19016152716593246]"
1,12,2.1848595364149226,0.17266715650257164,"[2.2906280284704166, 2.24357887201531, 2.1848595364149226]","[0.1565025716385011, 0.16752387950036737, 0.17266715650257164]"
1,13,2.187848773113517,0.1733038348082596,"[2.292322508124418, 2.245411063349524, 2.187848773113517]","[0.1556047197640118, 0.17182890855457228, 0.1733038348082596]"
1,5,2.078945359518362,0.18395879323031641,"[2.2683259553687516, 2.2162060072255687, 2.078945359518362]","[0.1515820456217807, 0.2016188373804268, 0.18395879323031641]"
1,6,2.082274392593739,0.18268525311812178,"[2.2668425981388536, 2.2157065923823867, 2.082274392593739]","[0.16874541452677916, 0.20102714600146734, 0.18268525311812178]"
1,25,2.086461721464645,0.18534798534798536,"[2.25383398699206, 2.207257315169933, 2.086461721464645]","[0.17509157509157508, 0.18315018315018314, 0.18534798534798536]"
1,29,2.0749152399772823,0.2013129102844639,"[2.253014941548192, 2.205856289974479, 2.0749152399772823]","[0.18307804522246535, 0.187454412837345, 0.2013129102844639]"
1,21,2.0891355996908145,0.17820324005891017,"[2.253599993018217, 2.2058494978172836, 2.0891355996908145]","[0.18630338733431517, 0.17746686303387335, 0.17820324005891017]"
1,20,2.0979684674462606,0.18736223365172666,"[2.2539968324262043, 2.206983355588691, 2.0979684674462606]","[0.1623806024981631, 0.1763409257898604, 0.18736223365172666]"
1,11,2.1774865139362425,0.18355359765051396,"[2.292631653852241, 2.2439733383267426, 2.1774865139362425]","[0.13729809104258445, 0.17914831130690162, 0.18355359765051396]"
1,23,2.100326557492101,0.19213649851632048,"[2.254185909448668, 2.2079894099124644, 2.100326557492101]","[0.17359050445103857, 0.17136498516320475, 0.19213649851632048]"
1,22,2.0896968397983287,0.19117647058823528,"[2.2545465314111044, 2.2074000558187796, 2.0896968397983287]","[0.15808823529411764, 0.17352941176470588, 0.19117647058823528]"
1,9,2.049875076427016,0.20921726408193123,"[2.2670037358306177, 2.2127120716627253, 2.049875076427016]","[0.15581565471836137, 0.21872713972201902, 0.20921726408193123]"
2,3,1.0625785783279773,0.6117216117216118,"[1.9314696982849475, 1.5596954933432645, 1.0625785783279773]","[0.20586080586080585, 0.38974358974358975, 0.6117216117216118]"
2,7,0.988445428914802,0.6434846266471449,"[1.9098936153012653, 1.5277158243711604, 0.988445428914802]","[0.21888726207906295, 0.38945827232796487, 0.6434846266471449]"
2,26,0.9467340624609659,0.6761487964989059,"[1.9282902091048484, 1.5349984529406526, 0.9467340624609659]","[0.21298322392414296, 0.4099197665937272, 0.6761487964989059]"
2,17,1.523651161859202,0.39691856199559794,"[2.0493759415870487, 1.800335127253865, 1.523651161859202]","[0.17901687454145268, 0.24064563462949376, 0.39691856199559794]"
2,15,1.528156646462374,0.39133627019089573,"[2.061185304508653, 1.792481084202611, 1.528156646462374]","[0.18208516886930984, 0.23861967694566813, 0.39133627019089573]"
2,0,1.064456864844921,0.6322344322344322,"[1.9094445067782735, 1.5092213597408561, 1.064456864844921]","[0.2175824175824176, 0.41025641025641024, 0.6322344322344322]"
2,19,1.451611224995103,0.44883040935672514,"[2.050022091976432, 1.782855050508366, 1.451611224995103]","[0.19517543859649122, 0.23976608187134502, 0.44883040935672514]"
2,29,1.0154339373111725,0.6703136396790663,"[1.9331709312838177, 1.5707454820011937, 1.0154339373111725]","[0.199854121079504, 0.38657913931436905, 0.6703136396790663]"
