iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,2.180322928862138,0.0009492168960607499,"[2.273765433918346, 2.227719278046579, 2.180322928862138]","[0.0, 0.00023730422401518748, 0.0009492168960607499]"
0,8,2.3402487810920265,0.20613931523022433,"[2.4081822493497063, 2.37409112032722, 2.3402487810920265]","[0.16033057851239668, 0.18134592680047226, 0.20613931523022433]"
0,12,2.1156551557428696,0.2906103286384977,"[2.1846222947625553, 2.1500736545113956, 2.1156551557428696]","[0.24976525821596243, 0.27230046948356806, 0.2906103286384977]"
0,7,2.3536291683421418,0.2011737089201878,"[2.406801707604352, 2.3790013860253727, 2.3536291683421418]","[0.15492957746478872, 0.176056338028169, 0.2011737089201878]"
0,3,2.180476462139803,0.000706880301602262,"[2.277657564948587, 2.229770870769725, 2.180476462139803]","[0.0, 0.0, 0.000706880301602262]"
0,5,2.364248682470883,0.19966879583629052,"[2.4023313101600197, 2.3794566673391007, 2.364248682470883]","[0.16158031700969955, 0.1812159924296191, 0.19966879583629052]"
0,13,2.156710386276245,0.2624616111504843,"[2.2158636135213516, 2.1830540755215813, 2.156710386276245]","[0.23245924875974486, 0.25679187337585635, 0.2624616111504843]"
0,2,2.1877657175064087,0.0009462976105985332,"[2.274171899346744, 2.2242922993267285, 2.1877657175064087]","[0.0002365744026496333, 0.0004731488052992666, 0.0009462976105985332]"
0,14,2.13912271752077,0.27328605200945627,"[2.2001024624880623, 2.173618527019725, 2.13912271752077]","[0.24302600472813238, 0.2581560283687943, 0.27328605200945627]"
0,4,2.1924453693277695,0.0011814744801512287,"[2.2802490066079533, 2.2348294538610123, 2.1924453693277695]","[0.0, 0.0, 0.0011814744801512287]"
0,9,2.340305636910831,0.20475966069745524,"[2.393146451781778, 2.3631942973417392, 2.340305636910831]","[0.16376060320452404, 0.18520263901979264, 0.20475966069745524]"
0,1,2.1858892300549675,0.00023573785950023574,"[2.2794155022677254, 2.229906643138212, 2.1858892300549675]","[0.0004714757190004715, 0.00023573785950023574, 0.00023573785950023574]"
0,6,2.345944039961871,0.20795107033639143,"[2.395681626656476, 2.3714727864545933, 2.345944039961871]","[0.16349094330745706, 0.1914843566219713, 0.20795107033639143]"
0,11,2.1293012990671047,0.27107866227037214,"[2.2063622614916634, 2.165512617896585, 2.1293012990671047]","[0.23739990579368817, 0.2571832312764955, 0.27107866227037214]"
0,10,2.137635911212248,0.28416075650118205,"[2.2023285346872665, 2.171529538491193, 2.137635911212248]","[0.24397163120567375, 0.25791962174940897, 0.28416075650118205]"
1,2,2.1410109576056984,0.0011828720132481666,"[2.229443585171419, 2.1870686657288494, 2.1410109576056984]","[0.0, 0.0004731488052992666, 0.0011828720132481666]"
1,12,2.0927440734470593,0.28356807511737087,"[2.1568508428685806, 2.130809461369234, 2.0927440734470593]","[0.24882629107981222, 0.2622065727699531, 0.28356807511737087]"
1,3,2.141670360284693,0.000235626767200754,"[2.2330263642703785, 2.1857075270484474, 2.141670360284693]","[0.000706880301602262, 0.000942507068803016, 0.000235626767200754]"
1,14,2.1412378830068253,0.2628841607565012,"[2.1800038113313565, 2.147433610523448, 2.1412378830068253]","[0.23853427895981089, 0.2491725768321513, 0.2628841607565012]"
1,7,2.3336784418891456,0.2136150234741784,"[2.3861864594852222, 2.3571097920922672, 2.3336784418891456]","[0.17206572769953052, 0.19859154929577466, 0.2136150234741784]"
1,1,2.1446653113645664,0.0007072135785007072,"[2.235159327002133, 2.1910529557396385, 2.1446653113645664]","[0.00023573785950023574, 0.0004714757190004715, 0.0007072135785007072]"
1,5,2.3345487047644222,0.22285308729595457,"[2.377672595136306, 2.3475605179281795, 2.3345487047644222]","[0.177430801987225, 0.19990537023894014, 0.22285308729595457]"
1,9,2.323763468686272,0.22502356267672008,"[2.37231189363143, 2.342611957998837, 2.323763468686272]","[0.18355325164938738, 0.20004712535344016, 0.22502356267672008]"
1,6,2.326034202295191,0.22206539637732298,"[2.379189505296595, 2.3483443049823536, 2.326034202295191]","[0.18089861209127264, 0.21006821924253116, 0.22206539637732298]"
1,8,2.3344053240383373,0.2167650531286895,"[2.3759619418312523, 2.353036684148452, 2.3344053240383373]","[0.1782762691853601, 0.19905548996458086, 0.2167650531286895]"
1,13,2.121429906171911,0.25726435152374205,"[2.188943631508771, 2.153828179135042, 2.121429906171911]","[0.2343491613512875, 0.2430900070871722, 0.25726435152374205]"
1,11,2.1138434760710774,0.26589731512011305,"[2.1764014819089104, 2.14461606390336, 2.1138434760710774]","[0.2376354215732454, 0.254592557701366, 0.26589731512011305]"
1,0,2.143900654532693,0.0018984337921214998,"[2.233948245193019, 2.1887936014117617, 2.143900654532693]","[0.00023730422401518748, 0.0, 0.0018984337921214998]"
1,4,2.146227815571953,0.0007088846880907373,"[2.2365829593995037, 2.1908559378455665, 2.146227815571953]","[0.0004725897920604915, 0.0014177693761814746, 0.0007088846880907373]"
1,10,2.12623997295604,0.25886524822695034,"[2.182733213200289, 2.1465659492156086, 2.12623997295604]","[0.2347517730496454, 0.2524822695035461, 0.25886524822695034]"
2,8,2.309707662638496,0.23447461629279812,"[2.3614609872593597, 2.3324974424698772, 2.309707662638496]","[0.19291617473435654, 0.2141676505312869, 0.23447461629279812]"
2,12,2.0763343993355248,0.2664319248826291,"[2.138174120117636, 2.1050133564892937, 2.0763343993355248]","[0.23826291079812206, 0.24976525821596243, 0.2664319248826291]"
2,0,2.107044068249789,0.004271476032273375,"[2.1954345992117217, 2.1479288881475274, 2.107044068249789]","[0.00023730422401518748, 0.0011865211200759373, 0.004271476032273375]"
2,10,2.101448325549855,0.24988179669030733,"[2.160042124636033, 2.1336207880693325, 2.101448325549855]","[0.2198581560283688, 0.2442080378250591, 0.24988179669030733]"
2,5,2.333417100064895,0.2294771705701443,"[2.3613018568824318, 2.3487573441337135, 2.333417100064895]","[0.1968299030044949, 0.2188313224509108, 0.2294771705701443]"
2,9,2.306425087592181,0.2391611687087653,"[2.3560939255882714, 2.3270643528769996, 2.306425087592181]","[0.1950989632422243, 0.2155984919886899, 0.2391611687087653]"
2,3,2.104703755939708,0.003298774740810556,"[2.200134235269883, 2.1537386038724113, 2.104703755939708]","[0.000471253534401508, 0.000706880301602262, 0.003298774740810556]"
2,14,2.101259000161115,0.25508274231678485,"[2.1670588605544148, 2.121692212188945, 2.101259000161115]","[0.23073286052009456, 0.24066193853427895, 0.25508274231678485]"
2,13,2.1021273732185364,0.246161115048429,"[2.179291704121758, 2.1361227666630462, 2.1021273732185364]","[0.22631703283723129, 0.23789274746042996, 0.246161115048429]"
2,4,2.112216830253601,0.0030718336483931945,"[2.200874454834882, 2.1544668253730324, 2.112216830253601]","[0.0, 0.0014177693761814746, 0.0030718336483931945]"
2,7,2.3205360454671524,0.22253521126760564,"[2.367326441933127, 2.343775370541741, 2.3205360454671524]","[0.18615023474178405, 0.20868544600938968, 0.22253521126760564]"
2,1,2.103324252016404,0.0021216407355021216,"[2.200094559613396, 2.150428260073942, 2.103324252016404]","[0.0007072135785007072, 0.000942951438000943, 0.0021216407355021216]"
2,6,2.3113181941649494,0.2364149611856034,"[2.368400342324201, 2.334051216349882, 2.3113181941649494]","[0.19195483415666903, 0.21877205363443897, 0.2364149611856034]"
2,2,2.109492126633139,0.0023657440264963333,"[2.195266934002147, 2.1533201652414657, 2.109492126633139]","[0.0, 0.0007097232079489, 0.0023657440264963333]"
2,11,2.096596465391271,0.2569477154969383,"[2.1599512030096615, 2.124148964881897, 2.096596465391271]","[0.2343382006594442, 0.24941121055110693, 0.2569477154969383]"
3,12,2.0609638200086704,0.2607981220657277,"[2.124297955456902, 2.089074366232928, 2.0609638200086704]","[0.23333333333333334, 0.2495305164319249, 0.2607981220657277]"
3,13,2.0925313725191006,0.23789274746042996,"[2.1570472016054043, 2.1106935879763435, 2.0925313725191006]","[0.22230096858020318, 0.23080557524214504, 0.23789274746042996]"
3,14,2.0886664320440853,0.2486997635933806,"[2.1393784109283898, 2.1098419357748592, 2.0886664320440853]","[0.2276595744680851, 0.2408983451536643, 0.2486997635933806]"
3,4,2.076726625947391,0.010160680529300567,"[2.1659059103797462, 2.12252237516291, 2.076726625947391]","[0.0007088846880907373, 0.003780718336483932, 0.010160680529300567]"
3,11,2.076584177858689,0.2475270843146491,"[2.139284561662113, 2.1111461204641007, 2.076584177858689]","[0.22774375883184172, 0.23834196891191708, 0.2475270843146491]"
3,3,2.070645619841183,0.00942507068803016,"[2.161695291014279, 2.1131738424301147, 2.070645619841183]","[0.000706880301602262, 0.0025918944392082943, 0.00942507068803016]"
3,5,2.297196833526387,0.23775727466288146,"[2.344819279278026, 2.3482719168943516, 2.297196833526387]","[0.20085166784953867, 0.22048734326945824, 0.23775727466288146]"
3,6,2.299582369187299,0.24182545283462714,"[2.3442240883322323, 2.320185528082006, 2.299582369187299]","[0.20207010115266996, 0.22677017172430017, 0.24182545283462714]"
3,7,2.310344871352701,0.2272300469483568,"[2.3560205627890194, 2.3309444469564102, 2.310344871352701]","[0.19624413145539907, 0.21901408450704227, 0.2272300469483568]"
3,0,2.0718432700995244,0.011390602752728999,"[2.162218390089093, 2.1199489290064033, 2.0718432700995244]","[0.0007119126720455624, 0.0023730422401518746, 0.011390602752728999]"
3,8,2.3026330751531265,0.24155844155844156,"[2.3420911816989674, 2.321084331063663, 2.3026330751531265]","[0.20094451003541913, 0.21841794569067297, 0.24155844155844156]"
3,2,2.0735953906003166,0.009462976105985333,"[2.1634028238408707, 2.1188899629256306, 2.0735953906003166]","[0.0, 0.0026023184291459663, 0.009462976105985333]"
3,10,2.079506888109095,0.24137115839243498,"[2.142056808752172, 2.11141531607684, 2.079506888109095]","[0.22482269503546098, 0.2326241134751773, 0.24137115839243498]"
3,1,2.069866222493789,0.00825082508250825,"[2.162525001694174, 2.1190017531899845, 2.069866222493789]","[0.00023573785950023574, 0.0023573785950023575, 0.00825082508250825]"
3,9,2.2956957817077637,0.2382186616399623,"[2.3421237538842594, 2.310782285297618, 2.2956957817077637]","[0.20122525918944392, 0.22148916116870876, 0.2382186616399623]"
4,2,2.045567007625804,0.0262597586941093,"[2.126647815984838, 2.085872537949506, 2.045567007625804]","[0.0007097232079489, 0.0099361249112846, 0.0262597586941093]"
4,11,2.0587100561927345,0.24517192651907677,"[2.1239956547232235, 2.0885356980211593, 2.0587100561927345]","[0.22020725388601037, 0.23410268487988695, 0.24517192651907677]"
4,13,2.0753098866518807,0.23529411764705882,"[2.1307569882448982, 2.0992572517956005, 2.0753098866518807]","[0.2185211433971179, 0.2303330970942594, 0.23529411764705882]"
4,8,2.2857812011943146,0.24415584415584415,"[2.33305262818056, 2.312987208366394, 2.2857812011943146]","[0.20850059031877213, 0.22384887839433293, 0.24415584415584415]"
4,3,2.035415800178752,0.02568331762488219,"[2.1255310703726376, 2.08186436400694, 2.035415800178752]","[0.001885014137606032, 0.0073044297832233745, 0.02568331762488219]"
4,14,2.0694277006037094,0.24160756501182032,"[2.139919631621417, 2.0988929131451775, 2.0694277006037094]","[0.22104018912529552, 0.2281323877068558, 0.24160756501182032]"
4,9,2.2801512129166546,0.24481621112158342,"[2.331529974937439, 2.3046764345730053, 2.2801512129166546]","[0.2111215834118756, 0.22384542884071632, 0.24481621112158342]"
4,4,2.0498487528632667,0.020793950850661626,"[2.1331086369121777, 2.0919061688815845, 2.0498487528632667]","[0.001890359168241966, 0.008506616257088847, 0.020793950850661626]"
4,0,2.0400825413790615,0.02159468438538206,"[2.128728100747773, 2.0870744242812647, 2.0400825413790615]","[0.0028476506881822496, 0.007593735168485999, 0.02159468438538206]"
4,5,2.2853725517497345,0.23988644428672817,"[2.335172842530643, 2.313781598035027, 2.2853725517497345]","[0.20652945351312987, 0.22734800094629762, 0.23988644428672817]"
4,6,2.2895665098639095,0.24229593036932487,"[2.3327622063019695, 2.311819918015424, 2.2895665098639095]","[0.20512820512820512, 0.22794636556104447, 0.24229593036932487]"
4,12,2.04643452167511,0.2622065727699531,"[2.108875211547403, 2.0752306685728183, 2.04643452167511]","[0.23075117370892018, 0.24741784037558687, 0.2622065727699531]"
4,7,2.2952425409765804,0.23380281690140844,"[2.344609912704019, 2.320514636881211, 2.2952425409765804]","[0.2028169014084507, 0.22230046948356808, 0.23380281690140844]"
4,10,2.0665990710258484,0.2458628841607565,"[2.1303989746991325, 2.0920495005214916, 2.0665990710258484]","[0.2170212765957447, 0.22836879432624113, 0.2458628841607565]"
4,1,2.035812995013069,0.02545968882602546,"[2.128780624445747, 2.081668222651762, 2.035812995013069]","[0.001885902876001886, 0.006836397925506836, 0.02545968882602546]"
5,12,2.0313671581885395,0.2528169014084507,"[2.0934894856284645, 2.0613196772687576, 2.0313671581885395]","[0.22276995305164318, 0.23615023474178404, 0.2528169014084507]"
5,4,2.015705595998203,0.04395085066162571,"[2.10323300782372, 2.0541041808969833, 2.015705595998203]","[0.005434782608695652, 0.021266540642722116, 0.04395085066162571]"
5,0,2.005516955346772,0.04888467014712862,"[2.096776666063251, 2.0504151618841924, 2.005516955346772]","[0.006644518272425249, 0.019221642145230186, 0.04888467014712862]"
5,3,2.0012611326049354,0.050424128180961356,"[2.0942486734951244, 2.045175117604873, 2.0012611326049354]","[0.004241281809613572, 0.02285579641847314, 0.050424128180961356]"
5,13,2.061206211062039,0.22938814079848807,"[2.121320703450371, 2.094904675203211, 2.061206211062039]","[0.21615875265768958, 0.2258445546893456, 0.22938814079848807]"
5,11,2.0420499268700096,0.23810645313235987,"[2.111826356719522, 2.0783800938550163, 2.0420499268700096]","[0.2173810645313236, 0.23480923221855865, 0.23810645313235987]"
5,2,2.0059858876116134,0.047551454932576294,"[2.0870500136824215, 2.053980231285095, 2.0059858876116134]","[0.0056777856635912, 0.02223799384906553, 0.047551454932576294]"
5,10,2.0517963696928585,0.2380614657210402,"[2.107164270737592, 2.079307356301476, 2.0517963696928585]","[0.21087470449172577, 0.22458628841607564, 0.2380614657210402]"
5,8,2.2819418135811302,0.24462809917355371,"[2.314870645018185, 2.298098283655503, 2.2819418135811302]","[0.21747343565525384, 0.23447461629279812, 0.24462809917355371]"
5,7,2.2801818567163803,0.24014084507042255,"[2.3344859936658073, 2.3083161536385033, 2.2801818567163803]","[0.2044600938967136, 0.223943661971831, 0.24014084507042255]"
5,5,2.282700875226189,0.24367163472912232,"[2.322457895559423, 2.314953025649576, 2.282700875226189]","[0.22001419446415899, 0.23042346818074283, 0.24367163472912232]"
5,14,2.0633160682285534,0.23687943262411348,"[2.112852264853085, 2.0818346703753754, 2.0633160682285534]","[0.21205673758865248, 0.2293144208037825, 0.23687943262411348]"
5,1,2.00280825881397,0.052098066949552095,"[2.0962475468130672, 2.050991226645077, 2.00280825881397]","[0.004714757190004715, 0.015794436586515793, 0.052098066949552095]"
5,9,2.269534202182994,0.250942507068803,"[2.3196915598476635, 2.291906307725345, 2.269534202182994]","[0.21324222431668238, 0.23350612629594722, 0.250942507068803]"
5,6,2.2711343695135677,0.24747118325099976,"[2.3208110963597015, 2.30092289167292, 2.2711343695135677]","[0.21665490472829924, 0.2340625735121148, 0.24747118325099976]"
6,12,2.022058500963099,0.2518779342723005,"[2.0815381723291733, 2.0474147410953747, 2.022058500963099]","[0.2220657276995305, 0.24107981220657276, 0.2518779342723005]"
6,0,1.9721491806434863,0.07475083056478406,"[2.0659445704835835, 2.015326825055209, 1.9721491806434863]","[0.016373991457047935, 0.03891789273849074, 0.07475083056478406]"
6,14,2.0384752049165615,0.233096926713948,"[2.099055802120882, 2.0752345078131733, 2.0384752049165615]","[0.21678486997635935, 0.22458628841607564, 0.233096926713948]"
6,10,2.0332063646877514,0.23546099290780143,"[2.0946876020992504, 2.066360329880434, 2.0332063646877514]","[0.21040189125295508, 0.22671394799054373, 0.23546099290780143]"
6,11,2.033214691807242,0.2352802637776731,"[2.099745519020978, 2.0615420271368587, 2.033214691807242]","[0.21714554875176637, 0.23104097974564297, 0.2352802637776731]"
6,13,2.044414222240448,0.22844318450271675,"[2.105008595130023, 2.0684180715504814, 2.044414222240448]","[0.21521379636191826, 0.22230096858020318, 0.22844318450271675]"
6,4,1.9829839362817652,0.07206994328922495,"[2.0718182605855606, 2.027542398256414, 1.9829839362817652]","[0.014177693761814745, 0.03780718336483932, 0.07206994328922495]"
6,8,2.2686700470307293,0.2571428571428571,"[2.318498316933127, 2.2895330891889683, 2.2686700470307293]","[0.21629279811097993, 0.23919716646989375, 0.2571428571428571]"
6,2,1.9742867560947643,0.08090844570617459,"[2.0555504595532135, 2.014258188359878, 1.9742867560947643]","[0.017506505796072866, 0.04021764845043766, 0.08090844570617459]"
6,3,1.965167729293599,0.08270499528746465,"[2.062074808513417, 2.0100877179818997, 1.965167729293599]","[0.017907634307257305, 0.041941564561734215, 0.08270499528746465]"
6,1,1.9667889335576225,0.08227251296558227,"[2.0616669795092415, 2.012508851640365, 1.9667889335576225]","[0.012494106553512494, 0.03866100895803866, 0.08227251296558227]"
6,5,2.2780997963512646,0.25313461083510763,"[2.3241833588656258, 2.288786299088422, 2.2780997963512646]","[0.22119706647740714, 0.23539153063638515, 0.25313461083510763]"
6,6,2.262876931358786,0.25452834627146553,"[2.310653427067925, 2.2863004698472866, 2.262876931358786]","[0.2185368148670901, 0.2364149611856034, 0.25452834627146553]"
6,9,2.259623268071343,0.2561262959472196,"[2.3054435814128205, 2.280597069684197, 2.259623268071343]","[0.22879359095193214, 0.23751178133836004, 0.2561262959472196]"
6,7,2.274354331633624,0.24694835680751173,"[2.3169497041141285, 2.2941780651316925, 2.274354331633624]","[0.21173708920187792, 0.2291079812206573, 0.24694835680751173]"
7,6,2.2489238837186027,0.26040931545518703,"[2.299637528026805, 2.277775294640485, 2.2489238837186027]","[0.22677017172430017, 0.2380616325570454, 0.26040931545518703]"
7,4,1.9505901722347034,0.10586011342155009,"[2.032208386589499, 1.989658436354469, 1.9505901722347034]","[0.03520793950850662, 0.0749054820415879, 0.10586011342155009]"
7,9,2.2454274472068336,0.25801131008482564,"[2.3022667870802036, 2.2737053913228653, 2.2454274472068336]","[0.2207822808671065, 0.2360980207351555, 0.25801131008482564]"
7,1,1.939303896006416,0.12164073550212164,"[2.0261080931214726, 1.9779598362305586, 1.939303896006416]","[0.033946251768033946, 0.07307873644507308, 0.12164073550212164]"
7,7,2.2587149073095882,0.2518779342723005,"[2.3077045679092407, 2.2878020510954014, 2.2587149073095882]","[0.21807511737089202, 0.23380281690140844, 0.2518779342723005]"
7,11,2.021988868713379,0.2399905793688177,"[2.083829206578872, 2.0489133140620064, 2.021988868713379]","[0.21761658031088082, 0.2268016957136128, 0.2399905793688177]"
7,14,2.0237482891363254,0.23451536643026005,"[2.0945314835099613, 2.057466934708988, 2.0237482891363254]","[0.21394799054373523, 0.2281323877068558, 0.23451536643026005]"
7,12,2.0081836931845722,0.2495305164319249,"[2.0719715251642117, 2.039645955843084, 2.0081836931845722]","[0.2176056338028169, 0.23262910798122066, 0.2495305164319249]"
7,0,1.941392284451109,0.11319411485524443,"[2.0274172515580147, 1.9834810856616858, 1.941392284451109]","[0.03891789273849074, 0.07475083056478406, 0.11319411485524443]"
7,2,1.9420393775491154,0.11048024603737876,"[2.0268635153770447, 1.9857346696012161, 1.9420393775491154]","[0.03572273480009463, 0.06837000236574403, 0.11048024603737876]"
