cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AN,0.9993652904266809,0.9994068828801035,2.0836180724107122e-08,0.00014434743061137985,0.9991462977854915,0.9992956509243469,0.9994068828801035,0.999442154094957,0.9995309424282489,0.9995486500007765,0.9995432402159334,5.196395163681149e-10,2.2795603005143666e-05,0.9995208466330505,0.9995341374923723,0.9995432402159334,0.9995681350680106,0.9995794497449331
AI,0.28916266078416697,0.32892105610096983,0.008828001784719064,0.09395744666985723,0.1530572722237537,0.21270608314971504,0.32892105610096983,0.3574790193612012,0.3843100675132554,0.27566968747305426,0.31600351767866697,0.009046414127825335,0.09511263915918501,0.13738590803383469,0.1997977861144206,0.31600351767866697,0.343881471485779,0.37200407656966505
AD,0.35835964885239013,0.31565485499977386,0.02050409222937898,0.14319250060453229,0.23720540971348786,0.25602888799554513,0.31565485499977386,0.3708393554983463,0.5892368502932704,0.34604591844456395,0.3002724171840738,0.021592020213434152,0.14694223427399677,0.22271804977650586,0.23833860004206323,0.3002724171840738,0.3628217708477255,0.5833971825827535
AL,0.2670905585140035,0.26025907795639114,0.0042452942766649905,0.06515592280572036,0.18652622806149916,0.21810288498304672,0.26025907795639114,0.31209208812353484,0.35828237889800585,0.25124509670115297,0.24024194262965043,0.004505052004868854,0.06711968418332177,0.17000818396295275,0.20092440658126848,0.24024194262965043,0.30171133356171526,0.345221991362321
AO,0.9993112619773035,0.9993261586019427,1.2250604519594727e-08,0.00011068244901335861,0.9991431145225556,0.999278442323569,0.9993261586019427,0.9993791531172714,0.9994386490458166,0.9993605069546853,0.9993950827094745,1.447161302444597e-08,0.00012029801754162854,0.9991807639537076,0.9992813866975128,0.9993950827094745,0.9994626778548545,0.9994845444797443
AG,0.22633994163112836,0.2439133697075252,0.0061572209254234095,0.07846796113971237,0.10966987110412305,0.1882663903119226,0.2439133697075252,0.2729322083693069,0.31682853578968895,0.20891501670812138,0.2255384783064216,0.006376437916615724,0.0798526011887886,0.09225067439906894,0.16666435588430356,0.2255384783064216,0.2570292107632853,0.3022762983315928
AE,0.23667528916468109,0.2562523147289908,0.0045457102241197945,0.06742188238339089,0.13782074079503495,0.19656042595405138,0.2562523147289908,0.27085231420436967,0.31664853315659314,0.22042284626612862,0.23937124942124444,0.004668794119608083,0.06832857469322834,0.12089650400081406,0.17895265425773055,0.23937124942124444,0.2555428963065358,0.3020761461624688
AC,0.3851452253549832,0.3742739767829152,0.003914997248648311,0.06256993885763602,0.32886412000510473,0.33743126486648506,0.3742739767829152,0.3897096990733902,0.4828757785523354,0.37302998068787846,0.3627591555537134,0.003994323468259161,0.06320066034670177,0.31592534750639223,0.3239263562208354,0.3627591555537134,0.37821067139325343,0.4713991990336691
AH,0.2366545850497083,0.25392989264395055,0.002183574165214008,0.046728729548469516,0.17169729383787394,0.19516653357980696,0.25392989264395055,0.26792685233273744,0.28826787352617494,0.22276146696735002,0.23962121218435362,0.0024059228732671357,0.049050207678124416,0.15634519294483998,0.17726202587023196,0.23962121218435362,0.25554763240700634,0.27798355534166364
AB,0.334268512850682,0.3416898538237045,0.0060032650906373134,0.07748074012706199,0.23922572777590204,0.26050715043825434,0.3416898538237045,0.3834734826839928,0.43702399517634677,0.3193296594677339,0.32591968611923283,0.006279829723190563,0.0792453766676048,0.2228304549887443,0.2433050720459402,0.32591968611923283,0.3705870533968708,0.42465196184841253
AJ,0.27828381322711576,0.29317075652058516,0.0022048395946181534,0.04695571950910936,0.20235271823190162,0.2754521555342695,0.29317075652058516,0.30961025360150607,0.3178502859255865,0.2494772447416478,0.2504608792752153,0.0007669654260418335,0.027694140644581002,0.2078450192675132,0.24679457860402787,0.2504608792752153,0.26641002486386145,0.2804618206035579
AF,0.2577152809875896,0.24467377550591646,0.004167670660983319,0.06455749887490468,0.18663570640298194,0.19786468447411895,0.24467377550591646,0.31964133851601634,0.3426263046241787,0.2372341534399871,0.23129275697488738,0.0042342205119565044,0.06507088835997635,0.1624386346286312,0.17378668697020583,0.23129275697488738,0.30152877687391355,0.31839653015119584
AA,0.2923001583991362,0.2696235168250248,0.003871390785306789,0.062220501326385895,0.22532540561061523,0.24963473799430225,0.2696235168250248,0.33794605702686853,0.38374400754218807,0.2768641427039132,0.25398010861770925,0.00407136298204321,0.06380723299159125,0.20913294596090717,0.23084804110983662,0.25398010861770925,0.32398394016544646,0.37055758196918603
AK,0.16839511642175994,0.14814269700972313,0.0029744848765668503,0.05453883823998133,0.11494263847318935,0.1291098418569417,0.14814269700972313,0.1944718490313804,0.25428111165450523,0.15363088742469752,0.13263702499479943,0.0029936810883813263,0.0547145418365294,0.101180484234593,0.11391766009335025,0.13263702499479943,0.1790228458810157,0.2401216426997026
AM,0.9991293010111821,0.9991256402881474,3.67923196425215e-08,0.00019181324157242508,0.9988643873411668,0.9990136822524043,0.9991256402881474,0.9992885854693928,0.9993693750584498,0.9993094554506748,0.9992738547069686,2.0137038217753165e-08,0.0001419050323905152,0.9991488565229906,0.9992033842243064,0.9992738547069686,0.9994076214764,0.9995168587131122
