cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AB,0.5818579932875853,0.5840889974335043,0.0007375947586206962,0.027158695819584123,0.54474914005495,0.5547286604356243,0.5840889974335043,0.6066943727171104,0.6130420674517272,0.3869151813926189,0.386877558966102,0.002531503757418624,0.050314051292045886,0.31109580355261646,0.3583545475755343,0.386877558966102,0.4169908907224127,0.45749034526987503
AH,0.6135091906153755,0.6227301095900339,0.0015983253519031625,0.03997906141848708,0.5585019398048874,0.5776490194528708,0.6227301095900339,0.6418553997702261,0.669707340069297,0.42111708382097196,0.41478572071745284,0.0014313672265207904,0.03783341415363924,0.36518354662654995,0.3976691581607481,0.41478572071745284,0.4507868764571801,0.47216451920580543
AC,0.6487433367570239,0.6438003947583413,0.0016482098851056657,0.04059815125231278,0.586928717475814,0.6322207367563757,0.6438003947583413,0.677217107683828,0.7056828449500377,0.44754984473619436,0.44398200327598536,0.0008431336579512585,0.029036763902874206,0.40882689536577704,0.4247673199341678,0.44398200327598536,0.4799552554906607,0.4844213580027036
AE,0.5906283327276809,0.582620096089884,0.002038455777095175,0.04514926109135314,0.5394612786970147,0.5539358273481048,0.582620096089884,0.6115335869790761,0.6710825770167829,0.4793978669079327,0.4676116009796303,0.001331222913300037,0.036485927606407884,0.43234593788223064,0.45330698993723173,0.4676116009796303,0.5026558489294972,0.5375100090724163
AL,0.6461017432454912,0.6455728961518339,0.0026431566385030714,0.05141163913456827,0.5551553320574094,0.6319614525263791,0.6455728961518339,0.677782281634763,0.7141486298199324,0.4891861963773305,0.506563604590176,0.001603222353156586,0.04004025915446335,0.4175752194149175,0.4696189255977007,0.506563604590176,0.5213925169563296,0.528193544947265
AK,0.6082824499380366,0.5807969582961127,0.004511941910044956,0.06717099009278452,0.5443544163448486,0.555349887119863,0.5807969582961127,0.6503809349769977,0.721521575574836,0.4513501815260161,0.4511788765080271,0.0006780288461116793,0.026038987040813998,0.41668905965832653,0.42947682445632124,0.4511788765080271,0.46823620105309616,0.49255267840061645
AG,0.5767133133784808,0.5656698324770995,0.004384787542514036,0.06621772830982678,0.497135828238079,0.5192620868718945,0.5656698324770995,0.6234059025934963,0.6817532010250222,0.44443026947790626,0.45421703856192286,0.0035378337211365725,0.059479691669817626,0.3623813535932705,0.40071134004152215,0.45421703856192286,0.4707952681844902,0.5371367728462462
AD,0.597907713618577,0.590941391559374,0.0018702769231963145,0.04324669840804399,0.5278390984785295,0.5774059129364543,0.590941391559374,0.6264487578105142,0.657827144855734,0.4437285357801994,0.44432806943139264,0.0004625869424542839,0.021507834443622722,0.4102794127978062,0.43243970263516596,0.44432806943139264,0.4598197660019069,0.47323372029973143
AI,0.6243329571716788,0.6088740564108803,0.002980427275400832,0.05459328965542223,0.5514230398576416,0.6034222225607473,0.6088740564108803,0.658900645363496,0.7055867684310739,0.4358297164757948,0.4094519492239499,0.001959741904574007,0.04426897225567821,0.383792631810779,0.4048673334508941,0.4094519492239499,0.4682426806093022,0.5036651425152826
AJ,0.5783027339703524,0.5693173227077326,0.0015604674673862567,0.039502752655811935,0.5290999635516287,0.5584414460266738,0.5693173227077326,0.5877991614457037,0.6502195945567515,0.45388935670056474,0.4633787366725266,0.0012800984036068308,0.035778462845779596,0.40061853250892365,0.42160254746825926,0.4633787366725266,0.48042449301803053,0.4976812897383829
AF,0.6075869491056071,0.5892724567014044,0.001963557376161708,0.04431204549737811,0.5454092884995538,0.5853454268530239,0.5892724567014044,0.6390100000358834,0.6763645345403557,0.44879309722743205,0.4574401480772753,0.004580233889291291,0.06767742525607258,0.356851813067953,0.3972575435217366,0.4574401480772753,0.50187506470934,0.5493652702681082
AA,0.5894781342927526,0.591275984043174,0.0029355617342904042,0.0541808244150124,0.5187704631800585,0.5329791498202596,0.591275984043174,0.6376201351613993,0.6615892975731494,0.5077453276260298,0.515891163658693,0.0015623296006338431,0.0395263152929013,0.4540936089411063,0.47379222347471833,0.515891163658693,0.5310837653672145,0.56420947510696
