cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AY,0.2812524250453615,0.2856238705516603,0.00099320914633735,0.03151522086765933,0.23574498278604705,0.26250410804140145,0.2856238705516603,0.2953769304554825,0.3323139900690357,0.20477474833670659,0.20281799583621307,0.00023412281599565724,0.01530107238057703,0.1866507259748791,0.19111786985536838,0.20281799583621307,0.21810428013120386,0.22701361651024854
AQ,0.2902387952551363,0.2903749678244054,0.0004959329259795886,0.02226955154419569,0.25740920653513477,0.28032006878439975,0.2903749678244054,0.30205739197450754,0.32406316691012904,0.20505006776085286,0.20228001177690658,0.0007800691982740846,0.027929718907896025,0.17235629958961596,0.17721940103294287,0.20228001177690658,0.2246274279681657,0.248085301553895
AS,0.2861505753252041,0.29129469570204947,0.0005549695910023037,0.02355779257490616,0.2487023901134897,0.2700166865584883,0.29129469570204947,0.3019112467760934,0.3182460091328352,0.2010161056701863,0.20308738352298406,0.0001472639552756044,0.01213523610300205,0.1809202965019594,0.19870355897610825,0.20308738352298406,0.20671691199426334,0.2156488425979859
AE,0.25412630018282256,0.26066581363701147,0.0009780506651382293,0.03127380157796985,0.20350362553921286,0.23301852949224866,0.26066581363701147,0.2732546553713391,0.29801100879387077,0.19509486225891945,0.19165505358256496,0.0008301452381409506,0.028812241116250407,0.16060165621389189,0.17252754054685226,0.19165505358256496,0.22169283785431632,0.23830965948499738
AZ,0.2925407707496388,0.2937337316429023,0.0011590935574861529,0.034045463096955414,0.24183997462730034,0.26694468111271163,0.2937337316429023,0.32712062528945296,0.3317360948756374,0.204708745502983,0.20462701652630244,0.000539353830589731,0.0232239925635049,0.17267963974047618,0.19146482544001345,0.20462701652630244,0.21324918233742807,0.2417031101571112
AK,0.28740105850295344,0.29411280315376587,0.0007765655933433362,0.027866926514119497,0.24221170827100735,0.2731887936333077,0.29411280315376587,0.29853674606282965,0.3243329156521725,0.19770797809516774,0.193561391291297,0.0007396760371287822,0.027196985809622033,0.1548224195700847,0.18588658966985605,0.193561391291297,0.21524464666227155,0.23669687451111088
AG,0.2788927989739862,0.28619528344457734,0.000534136189499036,0.023111386576729575,0.23884195495435942,0.2681020371096974,0.28619528344457734,0.2956682582121033,0.30458956529965775,0.20464189181842551,0.20343845376969227,0.00010584545256700691,0.01028812191641443,0.1907288987723632,0.19826356480115592,0.20343845376969227,0.20853404885375681,0.222054186574141
A1,0.2879672122308131,0.2891305360609664,0.0006791022334027577,0.026059590046713276,0.2496626530110433,0.2682687265433614,0.2891305360609664,0.30833666432309315,0.3187373431102273,0.20011443188121472,0.19793983909866597,0.000624855510709081,0.024997110047145072,0.1629351833782766,0.18865792844086826,0.19793983909866597,0.21137695434563142,0.2391309219692488
A3,0.27717274540595754,0.2801189090137939,0.0007337894429193056,0.027088548187736188,0.24284551205175298,0.25132644911389024,0.2801189090137939,0.29978813789710657,0.3142669131994609,0.20421596728784627,0.19992311940570318,0.0004054872150076336,0.020136713113307086,0.17985552731422558,0.18980548591143886,0.19992311940570318,0.21614062731977413,0.23738712553708297
AT,0.2878228149640691,0.2773913514722395,0.00111830037183935,0.03344099836786201,0.254633511843799,0.2686937379258705,0.2773913514722395,0.3003218901455753,0.3446065303457111,0.20145632587751724,0.18995558138036017,0.0006947873563532991,0.0263588193277563,0.17333622565476503,0.17888351953073095,0.18995558138036017,0.21399749308984894,0.24822463907396752
AC,0.2785073065684856,0.2741258319838096,0.00035520724591492467,0.018846942614517737,0.2527411045558594,0.26261430314623624,0.2741258319838096,0.2956756258103402,0.3021302704688864,0.18886076451793088,0.18695237977769352,0.0007071444711671329,0.026592188160569505,0.1539159342001284,0.16622890996940876,0.18695237977769352,0.20652088441106997,0.2287234573599477
AO,0.2864038917213157,0.296691281924808,0.000906364224530112,0.030105883553387235,0.2425442887561502,0.25835093474010373,0.296691281924808,0.30794329354443306,0.3256673623525259,0.20074137889367183,0.19729542036871806,0.00041306464708243065,0.020323991908147144,0.17502353321706465,0.18541345215354532,0.19729542036871806,0.2160900768123497,0.2315422909142555
AJ,0.27747155069942686,0.2716147377830822,0.0004920567405151624,0.02218235200593396,0.2519329387186673,0.26114304454995363,0.2716147377830822,0.29112524769412573,0.3137851765442292,0.20949440715278858,0.19904860627584642,0.0007871542341730714,0.02805626907079898,0.17745463225325153,0.1871187355575472,0.19904860627584642,0.23566853448053138,0.2532698900174495
AW,0.30415256985564293,0.2926883142663481,0.0009451810394691074,0.03074379676404831,0.261923690720689,0.28072527237080536,0.2926883142663481,0.33249901030399087,0.34162134237189534,0.2032578811370114,0.20227729150690266,0.00019715304636508518,0.014041119840136868,0.18353311352409776,0.19487812265071014,0.20227729150690266,0.21187067287235806,0.22360103996277303
AX,0.29029995464700525,0.2989896612857308,0.0006632533951460595,0.02575370643511453,0.24901905630144228,0.2762726779040463,0.2989896612857308,0.30765761834279814,0.323370611660998,0.21501855313861462,0.21908855600035793,0.0004940830588243007,0.022227979188947894,0.18003092712140661,0.20190923131438154,0.21908855600035793,0.23292147665263485,0.2432745411799715
AA,0.2759868445439561,0.27496169388361125,0.0010920190782419666,0.03304571194938863,0.23073044720965363,0.25321612658684955,0.27496169388361125,0.30465228988820314,0.3238683759530616,0.20157922613477625,0.1963655055853053,0.00037061052883365347,0.019251247461753055,0.1756498444869981,0.18953181197171176,0.1963655055853053,0.2142684084516091,0.23146233213061151
AH,0.2985014841975642,0.29933430889053625,0.0010270557952684973,0.03204771123291798,0.2558438849573257,0.2852500020117752,0.29933430889053625,0.30729115755921677,0.34742229256995216,0.22187154133324355,0.2324711510619295,0.0009048824526597149,0.03008126414663644,0.16785168805031248,0.2155075057804846,0.2324711510619295,0.23753350955754016,0.2548929196773031
A2,0.27648933676338816,0.28057671496897285,0.0005072278264912627,0.022521718995033718,0.2440449141391703,0.261067315542455,0.28057671496897285,0.28488929103304533,0.3113184615216724,0.2040049346347452,0.20688528929699146,0.00023721525276694866,0.015401793816531523,0.18004878887837683,0.19970699050537633,0.20688528929699146,0.2112724430798245,0.22270711795734854
A4,0.2714100147413949,0.27114476099603735,0.001075713382733262,0.032798069801945086,0.22619284952745033,0.24437748875430998,0.27114476099603735,0.2913583475535617,0.3208404286484599,0.19719784915914323,0.18593349245823276,0.0007011161087810172,0.02647859718302722,0.16644768250467123,0.18151052132036227,0.18593349245823276,0.21192753535115827,0.2446101442139797
AU,0.2967990953727556,0.30238780925249387,0.0012766356847359545,0.03573003896913568,0.231103268870001,0.2861978680205226,0.30238780925249387,0.32189592371999964,0.3385628401648897,0.2038215829113234,0.20741052182005051,0.0002554043946388182,0.015981376493869926,0.17864665716686545,0.1928345580908868,0.20741052182005051,0.21429460428281288,0.22506752695083065
AB,0.28426563395646115,0.2843720293850538,0.0007277656254142587,0.026977131526799855,0.24358334821430816,0.26547879190881574,0.2843720293850538,0.307594997284383,0.31929388662326474,0.19329606398123597,0.18643588560294688,0.0007187960856774512,0.026810372725448096,0.15908387427993276,0.1760799799930775,0.18643588560294688,0.211005775333021,0.23595760203372151
AL,0.303102965043791,0.30619315025514116,0.0006985021761630375,0.026429191742522843,0.2647602675001721,0.2838683708606027,0.30619315025514116,0.32624611305730156,0.33556087665316525,0.21391674311770148,0.2176330408741194,0.0003795814751662167,0.0194828507966934,0.1805966345287961,0.20509751487756844,0.2176330408741194,0.22581635381849985,0.23933915857446308
A5,0.28456276566041716,0.27647311329913293,0.0011652676647042268,0.03413601711834916,0.23359147194243945,0.2596547158103917,0.27647311329913293,0.3114292365949005,0.32994733503483786,0.19564136887329064,0.20270678721527702,0.0007358517664442546,0.0271265878142507,0.1561888001720213,0.17250618520880323,0.20270678721527702,0.21858173605983164,0.22903229293739003
AD,0.29771583337220736,0.30310518161081745,0.0008307008163559838,0.028821880860831824,0.25773077415584567,0.27008514744375844,0.30310518161081745,0.317537951602025,0.33736481346304537,0.19823947815504778,0.19940972994405115,0.00017001465507666396,0.013038966794829411,0.17730743781889657,0.1922361823691432,0.19940972994405115,0.2058344079010226,0.2157312545055371
AV,0.3001337336578341,0.30299910530493435,0.0012142549554388618,0.034846161272640376,0.24770897731107766,0.2758757618403216,0.30299910530493435,0.3280767407052172,0.3446555025281768,0.2100822452886578,0.2143409482127936,0.0005909055547429,0.02430854900529647,0.17017375809497537,0.1961574983771186,0.2143409482127936,0.2258537231712836,0.24229083611221824
AR,0.296446187887635,0.29954750899766935,0.0010408726471614262,0.03226255797610329,0.25033173421486765,0.26551266485770764,0.29954750899766935,0.3212106852896639,0.33827049815633004,0.21544262953099255,0.21407611322109688,0.000292824337850535,0.0171121108531512,0.19692687372151027,0.20082742449446656,0.21407611322109688,0.22269649562651495,0.24588074319696673
AI,0.2790742556257746,0.27457905416588346,0.0007553244902566099,0.027483167398547968,0.24484193943368382,0.25762434380263954,0.27457905416588346,0.30631595445778714,0.31809311178417277,0.21471116151422648,0.2087294583941912,0.0007688307688670323,0.027727797764464317,0.18314759499251565,0.19278817317182728,0.2087294583941912,0.23335614465473498,0.26119942702231924
AF,0.27881053116600224,0.27963572208324194,0.0002837266751541497,0.016844188171418344,0.25443994445305407,0.26719366653488663,0.27963572208324194,0.2898972616828471,0.3034526217874438,0.21361020472031977,0.21016098448200182,0.0004443345401228573,0.021079244296768735,0.18171741345885728,0.1988774253723662,0.21016098448200182,0.2368777664295365,0.2384842182441214
AM,0.2902286301694312,0.28784282521164073,0.001873136296535246,0.0432797446449866,0.23711484114316228,0.2527197168941431,0.28784282521164073,0.3241582750628113,0.35777157402455373,0.20659983449165614,0.20721976788018992,0.0004591700116922188,0.021428252651399714,0.17250526105971886,0.19379490462162607,0.20721976788018992,0.2223105948408758,0.23299861779404551
AN,0.2858907189891928,0.28838766501006224,0.0009556792398442297,0.03091406216989656,0.24363930927592037,0.26500456841631603,0.28838766501006224,0.3026073399560074,0.33139164355964823,0.2065906543125623,0.19944987726167085,0.0002776588182075194,0.016663097497389836,0.18573235951573253,0.19781160634421013,0.19944987726167085,0.2137209086146759,0.2356389182701406
