cluster,ins_mean,ins_median,ins_var,ins_std,ins_p05,ins_p25,ins_p50,ins_p75,ins_p95,del_mean,del_median,del_var,del_std,del_p05,del_p25,del_p50,del_p75,del_p95
AN,0.4947532825606083,0.5213719314428928,0.00391001878129228,0.06253014298154355,0.39532350773817504,0.47503091482186705,0.5213719314428928,0.5239452562409006,0.5568148963926757,0.4798277387491227,0.5073884866424787,0.004215802101453139,0.06492920838461792,0.37696440489992666,0.4597865764751885,0.5073884866424787,0.5080900640735311,0.5450560913557543
AI,0.4387578843565121,0.43083282189219385,0.006642525157955165,0.08150168806813246,0.3467544725669667,0.3949952878765103,0.43083282189219385,0.4503064943122878,0.5614831933705793,0.42433109038459116,0.41676639479947064,0.007989371008250855,0.08938328148065977,0.3224730432093086,0.3794689472601213,0.41676639479947064,0.4346550378356326,0.5580400795248003
AD,0.038942432347640644,0.03485940146371447,0.0005944789465794179,0.024381938942164092,0.014103023705359397,0.016513007328020343,0.03485940146371447,0.054330486918451756,0.07323962398704188,0.03138749177835582,0.025939150021682726,0.000506009070736612,0.022494645379214404,0.010943999334769732,0.011140464962246136,0.025939150021682726,0.042571701431343575,0.06422926104680846
AL,0.49462824100342545,0.5034548476646858,0.0009562918574150493,0.03092396897901447,0.4466165818887883,0.4880581436861124,0.5034548476646858,0.519304192149156,0.5202716231276473,0.47946151916692004,0.48964946790401476,0.0010918859245048537,0.033043697197875026,0.42786723889601835,0.4735750328555782,0.48964946790401476,0.5052715038322351,0.5058875270085627
AO,0.4913032814397489,0.4834633661529045,0.007667265640639627,0.08756292389270488,0.3856587524426427,0.4574649031128364,0.4834633661529045,0.503293549390937,0.6206597851886565,0.4831749867459029,0.47388946168408663,0.008105982698252806,0.09003323107749052,0.37347444605954394,0.4507465706868041,0.47388946168408663,0.4975941164849421,0.6157148308844206
AG,0.03460088928366308,0.03517288010197707,0.00019620390542263622,0.0140072804434921,0.017842550472632536,0.02265371994265738,0.03517288010197707,0.047725172747529146,0.04990716272475375,0.028479533874815843,0.028347425312074917,0.00020674521152339712,0.01437863733193786,0.01285192594882214,0.01493903794903325,0.028347425312074917,0.04230222943305739,0.04407313536903464
AE,0.5348405352181967,0.5476483687020504,0.0041972154050717,0.06478591980570855,0.43466643797660665,0.5454038989844215,0.5476483687020504,0.5607617199314755,0.5957491277422888,0.5230616138191184,0.5362945154905056,0.004410877205428453,0.06641443521877193,0.42039659826869546,0.5347116562326352,0.5362945154905056,0.5490751271856738,0.5851792068995418
AC,0.05661678436364065,0.05499403800590263,0.0006031548325191896,0.02455921074707389,0.02762787379637581,0.03310197846091591,0.05499403800590263,0.08046701916109282,0.08727527975178155,0.04190538450851889,0.04245672728485472,0.000354142908575358,0.018818685091561472,0.01967685026795407,0.024403431571930027,0.04245672728485472,0.052747095579469744,0.06793084675378395
AH,0.5078089017551609,0.5037053419536279,0.007316458697526795,0.0855363004666837,0.3922656832000198,0.4656036219599951,0.5037053419536279,0.5548685297022067,0.6249033746441702,0.49380911595536997,0.4904361951972449,0.007582898776153806,0.08707984138796881,0.37463382132570056,0.452953941095266,0.4904361951972449,0.5431049068753746,0.6112924074295851
AB,0.034190034207814336,0.025794501415773927,0.00030839509827372986,0.01756118157396392,0.018342131332661774,0.02003999960234574,0.025794501415773927,0.046962809683270525,0.06075089809368897,0.02712173341289294,0.02118921546489936,0.00021733042757648565,0.014742131039184451,0.012400856229020816,0.01611392578918346,0.02118921546489936,0.03732428990688335,0.04930071562257029
AJ,0.46271381375083775,0.437550324088543,0.009689638980442235,0.09843596385692698,0.357900238497706,0.42162873057999883,0.437550324088543,0.47640055061949255,0.6151503578114362,0.4520388694745292,0.42755974457735346,0.010268894910906124,0.10133555600531396,0.34187894468155106,0.41124825466270326,0.42755974457735346,0.46728319449922384,0.6077886331722998
AF,0.4849165668431928,0.5032363934092732,0.004679942157237831,0.06841010274248849,0.37689874297083004,0.4896876488784335,0.5032363934092732,0.5212331216238775,0.5441695018445116,0.4702176506646167,0.4907904930140972,0.004870589020557735,0.06978960539047155,0.3597188703328043,0.47479846980434265,0.4907904930140972,0.5066881509833675,0.5293472352830506
AA,0.04109271508457065,0.027426628236005016,0.0007266729084477747,0.02695687126592726,0.018259010440289283,0.02082605331319732,0.027426628236005016,0.05547864283362194,0.08379067706705996,0.03189794546645829,0.01975377289720941,0.0005597041077430022,0.02365806644134305,0.012520163033316777,0.015151900505142315,0.01975377289720941,0.04156405693252046,0.0701638848938927
AK,0.5064789155837416,0.5141528260236229,0.0019999881382047557,0.04472122693089665,0.4425170286421898,0.494690037160259,0.5141528260236229,0.5160452771547646,0.5629695849137379,0.4941446250050152,0.5041384238238529,0.002158937561005069,0.04646436872491726,0.4267079040171657,0.48070429473064574,0.5041384238238529,0.5050735368750849,0.5515961929737541
AM,0.5322603587756163,0.5503142501532894,0.0037040332264799,0.06086076919066913,0.43580654313512424,0.5478081768449806,0.5503142501532894,0.5628087006856004,0.5769205278225911,0.5189774169399907,0.5365014099113148,0.0038525952590699325,0.06206927790034239,0.420879203150221,0.535378538259569,0.5365014099113148,0.5504570986185537,0.5647104369311216
