iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,2.1532723903656006,0.17598187311178248,"[2.267277200537992, 2.2065814001014434, 2.1532723903656006]","[0.1559667673716012, 0.16503021148036254, 0.17598187311178248]"
0,8,2.1546931777681624,0.16741911211437172,"[2.2625599673816135, 2.2055443837529136, 2.1546931777681624]","[0.17005267118133935, 0.17155756207674944, 0.16741911211437172]"
0,12,2.1664479209716063,0.19366993217784476,"[2.271174847361553, 2.2144734457314734, 2.1664479209716063]","[0.14770158251695553, 0.19366993217784476, 0.19366993217784476]"
0,7,2.154962122440338,0.17350395182536696,"[2.263094118663243, 2.205863478637877, 2.154962122440338]","[0.17350395182536696, 0.17350395182536696, 0.17350395182536696]"
0,3,2.151008049647013,0.19307489649981183,"[2.265443444252014, 2.203319237345741, 2.151008049647013]","[0.16974030861874295, 0.16748212269476853, 0.19307489649981183]"
0,5,2.155961283718247,0.17366628830874006,"[2.263986452516303, 2.20699838270624, 2.155961283718247]","[0.17253121452894438, 0.17253121452894438, 0.17366628830874006]"
0,13,2.167802858920324,0.1840421528039142,"[2.2729453586396717, 2.216066848664057, 2.167802858920324]","[0.13774934136243885, 0.1840421528039142, 0.1840421528039142]"
0,2,2.150341905298687,0.17843726521412473,"[2.26557962951206, 2.2044610381126404, 2.150341905298687]","[0.16604057099924868, 0.16754320060105185, 0.17843726521412473]"
0,14,2.1652234821092513,0.1935483870967742,"[2.2699074291047596, 2.213238693418957, 2.1652234821092513]","[0.14778694673668416, 0.1935483870967742, 0.1935483870967742]"
0,4,2.15007422935395,0.19715142428785606,"[2.2648524783906483, 2.203856709457579, 2.15007422935395]","[0.15517241379310345, 0.18853073463268366, 0.19715142428785606]"
0,9,2.156331147466387,0.14988730277986476,"[2.264438646180289, 2.2070852035567876, 2.156331147466387]","[0.15777610818933133, 0.15589782118707737, 0.14988730277986476]"
0,1,2.1525311872183557,0.19336600075386354,"[2.265423312244645, 2.205327045486634, 2.1525311872183557]","[0.15981907274783264, 0.17678100263852242, 0.19336600075386354]"
0,6,2.1568067389798453,0.17633760361718162,"[2.2629569093865083, 2.206811456795198, 2.1568067389798453]","[0.17633760361718162, 0.17633760361718162, 0.17633760361718162]"
